,h,r,t,head-batch,tail-batch,ranks
0,4092,23,13397,1,1,1.0
1,14132,216,331,28,22,25.0
2,668,75,1499,8,1,4.5
3,11576,31,1831,1,746,373.5
4,11576,31,13586,1,84,42.5
5,4815,82,2917,452,834,643.0
6,915,108,1391,36,450,243.0
7,13980,170,246,1,25,13.0
8,1479,4,14355,580,10,295.0
9,14239,202,6143,48,101,74.5
10,10319,75,2414,6,1,3.5
11,6290,172,1273,387,1005,696.0
12,9888,152,3778,39,2,20.5
13,7695,197,9448,99,1,50.0
14,8604,22,3568,230,25,127.5
15,8535,62,8489,254,7,130.5
16,11501,150,6765,324,1,162.5
17,4422,129,10556,12,304,158.0
18,4100,48,7862,1,41,21.0
19,4100,48,13648,1,50,25.5
20,8299,88,7169,1,4,2.5
21,6674,196,3187,1,1,1.0
22,10681,103,8429,5,3,4.0
23,1224,80,8264,3,1,2.0
24,1224,80,5111,1,1,1.0
25,9707,147,8982,327,4,165.5
26,12506,173,2307,37,428,232.5
27,31,75,3056,70,6,38.0
28,7449,30,1678,2496,3,1249.5
29,14237,168,6976,99,2395,1247.0
30,7204,97,13032,26,3,14.5
31,7834,88,12987,586,13,299.5
32,3864,66,405,2,2,2.0
33,9247,108,10434,5,19,12.0
34,9247,108,6664,1,7,4.0
35,9093,2,12176,1922,5,963.5
36,664,199,3825,1,7,4.0
37,664,199,9584,2,640,321.0
38,664,215,14205,4,8,6.0
39,11981,6,4612,97,1,49.0
40,2471,75,11898,3,2,2.5
41,6367,140,3380,110,63,86.5
42,13083,130,3480,1,1,1.0
43,13678,110,7143,1,1046,523.5
44,13678,110,1510,5,1994,999.5
45,14084,35,6765,52,1,26.5
46,6844,2,1114,72,1,36.5
47,11173,230,10502,4,1,2.5
48,7046,149,5211,919,11,465.0
49,12012,199,4470,1,5,3.0
50,7949,108,595,1,2,1.5
51,14074,7,1651,2,1,1.5
52,11907,204,2587,7,198,102.5
53,2089,125,4486,819,106,462.5
54,1592,82,8223,1303,1094,1198.5
55,11448,60,8996,4,15,9.5
56,2593,218,2264,177,2,89.5
57,6453,148,5245,696,1,348.5
58,7996,124,6347,9,2553,1281.0
59,11571,31,7408,1,3,2.0
60,11105,2,12176,43,1,22.0
61,328,46,2622,142,1367,754.5
62,13853,125,11668,1,1,1.0
63,14073,21,319,314,309,311.5
64,1954,80,677,3,2,2.5
65,2588,108,12470,22,109,65.5
66,1673,17,4361,9,3,6.0
67,2349,36,307,2,1,1.5
68,8663,82,13805,39,80,59.5
69,5898,2,11221,730,3,366.5
70,11396,108,6812,3,40,21.5
71,863,194,6008,3,12,7.5
72,11196,176,9963,11,3,7.0
73,13606,75,3056,10,1,5.5
74,8471,13,12126,1,1,1.0
75,8471,13,962,1,1,1.0
76,13165,82,13472,286,158,222.0
77,3602,105,5954,1,182,91.5
78,7575,233,4999,1,1,1.0
79,1769,126,10729,109,1,55.0
80,1265,82,5751,17,22,19.5
81,9450,39,9842,395,1506,950.5
82,12907,2,2913,380,5,192.5
83,1906,125,12527,1161,8,584.5
84,2826,82,11163,401,381,391.0
85,4025,2,13357,88,1,44.5
86,1993,179,4352,54,16,35.0
87,4106,59,5068,1,241,121.0
88,1822,186,3056,3664,3,1833.5
89,1822,50,4021,102,91,96.5
90,1983,173,5093,2,268,135.0
91,933,201,775,14,4,9.0
92,12948,90,11812,1,2,1.5
93,11228,169,10967,2,3,2.5
94,3829,125,9307,195,34,114.5
95,3829,125,13647,146,26,86.0
96,3568,197,9448,2,1,1.5
97,3568,196,11378,2,1,1.5
98,10650,58,14037,8462,1,4231.5
99,9553,108,4396,8,21,14.5
100,7127,17,7544,1,1,1.0
101,8021,173,3938,50,11,30.5
102,5193,75,12402,30,4,17.0
103,2873,85,6373,4329,11038,7683.5
104,7931,202,11148,1,6,3.5
105,2011,182,2011,1,1,1.0
106,14446,186,4994,890,1,445.5
107,11397,159,12838,973,133,553.0
108,9825,38,13398,59,2,30.5
109,2327,125,13647,14,6,10.0
110,4912,214,6765,219,1,110.0
111,5050,164,7544,1,1,1.0
112,8352,55,10192,89,25,57.0
113,4951,105,10643,4,115,59.5
114,1776,148,5245,260,1,130.5
115,607,97,10815,182,2,92.0
116,12211,186,4994,3,1,2.0
117,13936,84,9206,1,1,1.0
118,13288,109,6991,1,2,1.5
119,13080,111,9702,326,9,167.5
120,3265,186,4994,9,1,5.0
121,1063,230,11118,1,1,1.0
122,9010,118,2539,1,43,22.0
123,2869,91,9078,9,19,14.0
124,2506,145,3056,117,5,61.0
125,3784,82,1492,2088,1021,1554.5
126,14097,125,7105,16,3,9.5
127,1418,58,14037,20,1,10.5
128,6130,190,9538,1,1,1.0
129,4221,59,900,6,26,16.0
130,4221,59,9978,4,102,53.0
131,4551,149,7253,6236,6,3121.0
132,4217,186,4994,37,1,19.0
133,1503,2,10619,1079,33,556.0
134,7505,61,3399,4,2,3.0
135,1173,125,12154,19,2,10.5
136,628,108,5857,1,3,2.0
137,13843,105,13352,2,15,8.5
138,9657,30,12516,279,141,210.0
139,916,126,11345,491,1,246.0
140,3146,75,10222,3,1,2.0
141,4257,2,5311,8,1,4.5
142,3176,111,13094,80,1,40.5
143,3176,75,9003,180,10,95.0
