,h,r,t,head-batch,tail-batch,ranks
0,4092,23,13397,1,1,1.0
1,14132,216,331,30,28,29.0
2,668,75,1499,11,1,6.0
3,11576,31,1831,1,1009,505.0
4,11576,31,13586,1,137,69.0
5,4815,82,2917,200,487,343.5
6,915,108,1391,51,487,269.0
7,13980,170,246,1,17,9.0
8,1479,4,14355,102,3,52.5
9,14239,202,6143,55,242,148.5
10,10319,75,2414,2,1,1.5
11,6290,172,1273,301,1849,1075.0
12,9888,152,3778,26,2,14.0
13,7695,197,9448,26,1,13.5
14,8604,22,3568,101,18,59.5
15,8535,62,8489,199,5,102.0
16,11501,150,6765,159,1,80.0
17,4422,129,10556,4,109,56.5
18,4100,48,7862,1,35,18.0
19,4100,48,13648,1,50,25.5
20,8299,88,7169,2,4,3.0
21,6674,196,3187,1,1,1.0
22,10681,103,8429,8,10,9.0
23,1224,80,8264,2,1,1.5
24,1224,80,5111,1,1,1.0
25,9707,147,8982,67,4,35.5
26,12506,173,2307,22,629,325.5
27,31,75,3056,67,4,35.5
28,7449,30,1678,2730,6,1368.0
29,14237,168,6976,68,2277,1172.5
30,7204,97,13032,79,5,42.0
31,7834,88,12987,586,15,300.5
32,3864,66,405,2,2,2.0
33,9247,108,10434,7,20,13.5
34,9247,108,6664,1,16,8.5
35,9093,2,12176,1562,4,783.0
36,664,199,3825,1,2,1.5
37,664,199,9584,3,1146,574.5
38,664,215,14205,4,8,6.0
39,11981,6,4612,77,1,39.0
40,2471,75,11898,4,2,3.0
41,6367,140,3380,225,175,200.0
42,13083,130,3480,1,1,1.0
43,13678,110,7143,1,499,250.0
44,13678,110,1510,3,1042,522.5
45,14084,35,6765,67,1,34.0
46,6844,2,1114,40,1,20.5
47,11173,230,10502,1,1,1.0
48,7046,149,5211,657,25,341.0
49,12012,199,4470,1,4,2.5
50,7949,108,595,1,2,1.5
51,14074,7,1651,1,1,1.0
52,11907,204,2587,4,291,147.5
53,2089,125,4486,608,56,332.0
54,1592,82,8223,967,682,824.5
55,11448,60,8996,20,46,33.0
56,2593,218,2264,32,1,16.5
57,6453,148,5245,331,1,166.0
58,7996,124,6347,14,657,335.5
59,11571,31,7408,2,5,3.5
60,11105,2,12176,2,1,1.5
61,328,46,2622,173,1442,807.5
62,13853,125,11668,1,1,1.0
63,14073,21,319,254,401,327.5
64,1954,80,677,1,1,1.0
65,2588,108,12470,26,142,84.0
66,1673,17,4361,5,1,3.0
67,2349,36,307,1,1,1.0
68,8663,82,13805,106,260,183.0
69,5898,2,11221,179,1,90.0
70,11396,108,6812,2,22,12.0
71,863,194,6008,3,10,6.5
72,11196,176,9963,14,3,8.5
73,13606,75,3056,12,2,7.0
74,8471,13,12126,1,1,1.0
75,8471,13,962,2,1,1.5
76,13165,82,13472,531,708,619.5
77,3602,105,5954,1,183,92.0
78,7575,233,4999,7,1,4.0
79,1769,126,10729,82,1,41.5
80,1265,82,5751,45,71,58.0
81,9450,39,9842,351,1438,894.5
82,12907,2,2913,387,4,195.5
83,1906,125,12527,761,10,385.5
84,2826,82,11163,294,264,279.0
85,4025,2,13357,139,3,71.0
86,1993,179,4352,48,19,33.5
87,4106,59,5068,1,196,98.5
88,1822,186,3056,1443,2,722.5
89,1822,50,4021,99,82,90.5
90,1983,173,5093,2,128,65.0
91,933,201,775,2,4,3.0
92,12948,90,11812,1,7,4.0
93,11228,169,10967,5,7,6.0
94,3829,125,9307,242,48,145.0
95,3829,125,13647,157,26,91.5
96,3568,197,9448,5,1,3.0
97,3568,196,11378,4,1,2.5
98,10650,58,14037,6989,1,3495.0
99,9553,108,4396,8,14,11.0
100,7127,17,7544,1,1,1.0
101,8021,173,3938,17,7,12.0
102,5193,75,12402,16,2,9.0
103,2873,85,6373,5890,743,3316.5
104,7931,202,11148,1,7,4.0
105,2011,182,2011,1,1,1.0
106,14446,186,4994,546,1,273.5
107,11397,159,12838,1049,110,579.5
108,9825,38,13398,247,2,124.5
109,2327,125,13647,20,5,12.5
110,4912,214,6765,191,1,96.0
111,5050,164,7544,2,1,1.5
112,8352,55,10192,119,29,74.0
113,4951,105,10643,8,144,76.0
114,1776,148,5245,138,1,69.5
115,607,97,10815,93,2,47.5
116,12211,186,4994,1,1,1.0
117,13936,84,9206,1,1,1.0
118,13288,109,6991,4,6,5.0
119,13080,111,9702,444,12,228.0
120,3265,186,4994,11,1,6.0
121,1063,230,11118,1,1,1.0
122,9010,118,2539,1,139,70.0
123,2869,91,9078,7,13,10.0
124,2506,145,3056,28,1,14.5
125,3784,82,1492,1923,539,1231.0
126,14097,125,7105,18,3,10.5
127,1418,58,14037,1,1,1.0
128,6130,190,9538,1,1,1.0
129,4221,59,900,4,18,11.0
130,4221,59,9978,4,127,65.5
131,4551,149,7253,4671,9,2340.0
132,4217,186,4994,11,1,6.0
133,1503,2,10619,1501,34,767.5
134,7505,61,3399,6,2,4.0
135,1173,125,12154,7,2,4.5
136,628,108,5857,1,4,2.5
137,13843,105,13352,1,16,8.5
138,9657,30,12516,35,30,32.5
139,916,126,11345,449,1,225.0
140,3146,75,10222,3,1,2.0
141,4257,2,5311,2,1,1.5
142,3176,111,13094,41,1,21.0
143,3176,75,9003,183,11,97.0
144,5950,134,12718,1,1,1.0
145,5950,110,4068,2,181,91.5
146,3908,88,8187,96,10,53.0
147,12200,30,12775,2295,323,1309.0
148,10732,123,3366,1,27,14.0
149,10732,123,10854,1,4,2.5
150,12635,101,14304,23,1,12.0
151,3527,188,6441,829,2,415.5
152,4952,10,7615,2,40,21.0
153,109,108,7804,1,42,21.5
154,109,108,1569,1,27,14.0
155,2398,50,1707,46,28,37.0
156,8152,2,5029,428,8,218.0
157,12104,141,12084,1993,1,997.0
158,4533,88,7169,83,10,46.5
159,3179,2,11621,48,1,24.5
160,10907,80,4422,1,1,1.0
161,3038,88,1489,165,5,85.0
162,348,31,12771,2,5,3.5
163,733,2,5029,26,1,13.5
164,8858,186,11576,201,3,102.0
165,3017,108,10973,9,138,73.5
166,2270,30,9204,79,81,80.0
167,9008,22,10377,8,10,9.0
168,8365,82,3727,1,1,1.0
169,5036,55,8372,11,1,6.0
170,9949,4,12009,1,1,1.0
171,9174,186,13398,20,1,10.5
172,10909,75,819,2,5,3.5
173,10920,215,3357,7,7,7.0
174,13076,17,13705,83,5,44.0
175,2955,113,5985,106,9,57.5
