,h,r,t,head-batch,tail-batch,ranks
0,4092,23,13397,1,1,1.0
1,14132,216,331,32,40,36.0
2,668,75,1499,5,12,8.5
3,11576,31,1831,1,131,66.0
4,11576,31,13586,1,151,76.0
5,4815,82,2917,419,421,420.0
6,915,108,1391,7,317,162.0
7,13980,170,246,2,40,21.0
8,1479,4,14355,124,4,64.0
9,14239,202,6143,37,61,49.0
10,10319,75,2414,17,4,10.5
11,6290,172,1273,178,8,93.0
12,9888,152,3778,82,1,41.5
13,7695,197,9448,21,1,11.0
14,8604,22,3568,143,18,80.5
15,8535,62,8489,96,4,50.0
16,11501,150,6765,171,1,86.0
17,4422,129,10556,5,186,95.5
18,4100,48,7862,1,40,20.5
19,4100,48,13648,1,57,29.0
20,8299,88,7169,2,2,2.0
21,6674,196,3187,2,1,1.5
22,10681,103,8429,5,3,4.0
23,1224,80,8264,2,1,1.5
24,1224,80,5111,1,1,1.0
25,9707,147,8982,248,1,124.5
26,12506,173,2307,186,558,372.0
27,31,75,3056,65,30,47.5
28,7449,30,1678,1947,43,995.0
29,14237,168,6976,195,1653,924.0
30,7204,97,13032,155,6,80.5
31,7834,88,12987,473,6,239.5
32,3864,66,405,2,2,2.0
33,9247,108,10434,5,4,4.5
34,9247,108,6664,2,3,2.5
35,9093,2,12176,1214,12,613.0
36,664,199,3825,2,5,3.5
37,664,199,9584,10,910,460.0
38,664,215,14205,25,22,23.5
39,11981,6,4612,85,1,43.0
40,2471,75,11898,1,1,1.0
41,6367,140,3380,193,161,177.0
42,13083,130,3480,1,1,1.0
43,13678,110,7143,1,390,195.5
44,13678,110,1510,5,473,239.0
45,14084,35,6765,128,1,64.5
46,6844,2,1114,89,1,45.0
47,11173,230,10502,6,3,4.5
48,7046,149,5211,213,55,134.0
49,12012,199,4470,1,6,3.5
50,7949,108,595,1,2,1.5
51,14074,7,1651,1,3,2.0
52,11907,204,2587,4,341,172.5
53,2089,125,4486,1213,98,655.5
54,1592,82,8223,630,673,651.5
55,11448,60,8996,155,17,86.0
56,2593,218,2264,42,3,22.5
57,6453,148,5245,322,1,161.5
58,7996,124,6347,9,21,15.0
59,11571,31,7408,1,4,2.5
60,11105,2,12176,2,1,1.5
61,328,46,2622,1057,1310,1183.5
62,13853,125,11668,3,1,2.0
63,14073,21,319,31,30,30.5
64,1954,80,677,6,4,5.0
65,2588,108,12470,23,131,77.0
66,1673,17,4361,75,2,38.5
67,2349,36,307,201,1,101.0
68,8663,82,13805,28,11,19.5
69,5898,2,11221,184,2,93.0
70,11396,108,6812,2,25,13.5
71,863,194,6008,16,34,25.0
72,11196,176,9963,20,3,11.5
73,13606,75,3056,33,26,29.5
74,8471,13,12126,1,1,1.0
75,8471,13,962,1,23,12.0
76,13165,82,13472,812,982,897.0
77,3602,105,5954,1,120,60.5
78,7575,233,4999,4,1,2.5
79,1769,126,10729,104,1,52.5
80,1265,82,5751,64,111,87.5
