,h,r,t,head-batch,tail-batch,ranks
0,4092,23,13397,11,1,6.0
1,14132,216,331,40,49,44.5
2,668,75,1499,10,1,5.5
3,11576,31,1831,1,131,66.0
4,11576,31,13586,1,168,84.5
5,4815,82,2917,852,945,898.5
6,915,108,1391,9,566,287.5
7,13980,170,246,2,41,21.5
8,1479,4,14355,141,6,73.5
9,14239,202,6143,41,72,56.5
10,10319,75,2414,14,2,8.0
11,6290,172,1273,550,805,677.5
12,9888,152,3778,85,1,43.0
13,7695,197,9448,83,1,42.0
14,8604,22,3568,98,12,55.0
15,8535,62,8489,50,4,27.0
16,11501,150,6765,374,1,187.5
17,4422,129,10556,4,230,117.0
18,4100,48,7862,1,42,21.5
19,4100,48,13648,1,64,32.5
20,8299,88,7169,1,2,1.5
21,6674,196,3187,2,1,1.5
22,10681,103,8429,4,2,3.0
23,1224,80,8264,1,1,1.0
24,1224,80,5111,2,1,1.5
25,9707,147,8982,3092,355,1723.5
26,12506,173,2307,160,536,348.0
27,31,75,3056,72,28,50.0
28,7449,30,1678,2784,58,1421.0
29,14237,168,6976,126,1185,655.5
30,7204,97,13032,162,6,84.0
31,7834,88,12987,454,13,233.5
32,3864,66,405,2,2,2.0
33,9247,108,10434,3,3,3.0
34,9247,108,6664,1,12,6.5
35,9093,2,12176,1941,28,984.5
36,664,199,3825,1,1,1.0
37,664,199,9584,3,802,402.5
38,664,215,14205,8,12,10.0
39,11981,6,4612,90,1,45.5
40,2471,75,11898,3,1,2.0
41,6367,140,3380,176,253,214.5
42,13083,130,3480,1,1,1.0
43,13678,110,7143,1,865,433.0
44,13678,110,1510,4,780,392.0
45,14084,35,6765,25,1,13.0
46,6844,2,1114,100,1,50.5
47,11173,230,10502,6,2,4.0
48,7046,149,5211,319,86,202.5
49,12012,199,4470,1,12,6.5
50,7949,108,595,1,7,4.0
51,14074,7,1651,1,5,3.0
52,11907,204,2587,14,589,301.5
53,2089,125,4486,775,57,416.0
54,1592,82,8223,579,607,593.0
55,11448,60,8996,392,30,211.0
56,2593,218,2264,7,2,4.5
57,6453,148,5245,738,1,369.5
58,7996,124,6347,6,20,13.0
59,11571,31,7408,1,4,2.5
60,11105,2,12176,2,1,1.5
61,328,46,2622,1311,1462,1386.5
62,13853,125,11668,5,1,3.0
63,14073,21,319,32,28,30.0
64,1954,80,677,5,4,4.5
65,2588,108,12470,20,146,83.0
66,1673,17,4361,170,2,86.0
67,2349,36,307,269,1,135.0
68,8663,82,13805,43,35,39.0
69,5898,2,11221,247,2,124.5
70,11396,108,6812,2,23,12.5
71,863,194,6008,126,80,103.0
72,11196,176,9963,19,6,12.5
73,13606,75,3056,17,1,9.0
