,h,r,t,head-batch,tail-batch,ranks
0,4092,23,13397,1,1,1.0
1,14132,216,331,33,19,26.0
2,668,75,1499,11,3,7.0
3,11576,31,1831,1,393,197.0
4,11576,31,13586,1,100,50.5
5,4815,82,2917,466,513,489.5
6,915,108,1391,22,354,188.0
7,13980,170,246,1,32,16.5
8,1479,4,14355,149,3,76.0
9,14239,202,6143,43,267,155.0
10,10319,75,2414,10,1,5.5
11,6290,172,1273,277,858,567.5
12,9888,152,3778,82,2,42.0
13,7695,197,9448,17,1,9.0
14,8604,22,3568,236,27,131.5
15,8535,62,8489,200,7,103.5
16,11501,150,6765,137,1,69.0
17,4422,129,10556,6,313,159.5
18,4100,48,7862,1,46,23.5
19,4100,48,13648,1,50,25.5
20,8299,88,7169,4,3,3.5
21,6674,196,3187,1,1,1.0
22,10681,103,8429,9,7,8.0
23,1224,80,8264,1,1,1.0
24,1224,80,5111,1,1,1.0
25,9707,147,8982,222,1,111.5
26,12506,173,2307,24,377,200.5
27,31,75,3056,75,7,41.0
28,7449,30,1678,3360,4,1682.0
29,14237,168,6976,116,2688,1402.0
30,7204,97,13032,69,6,37.5
31,7834,88,12987,455,15,235.0
32,3864,66,405,2,2,2.0
33,9247,108,10434,3,4,3.5
34,9247,108,6664,1,12,6.5
35,9093,2,12176,1170,5,587.5
36,664,199,3825,2,2,2.0
37,664,199,9584,6,1271,638.5
38,664,215,14205,4,6,5.0
39,11981,6,4612,87,1,44.0
40,2471,75,11898,1,1,1.0
41,6367,140,3380,188,86,137.0
42,13083,130,3480,1,1,1.0
43,13678,110,7143,1,1055,528.0
44,13678,110,1510,6,1483,744.5
45,14084,35,6765,6,1,3.5
46,6844,2,1114,47,1,24.0
47,11173,230,10502,2,1,1.5
48,7046,149,5211,382,12,197.0
49,12012,199,4470,1,11,6.0
50,7949,108,595,1,4,2.5
51,14074,7,1651,2,2,2.0
52,11907,204,2587,6,328,167.0
53,2089,125,4486,607,37,322.0
54,1592,82,8223,876,775,825.5
55,11448,60,8996,35,23,29.0
56,2593,218,2264,36,1,18.5
57,6453,148,5245,202,1,101.5
58,7996,124,6347,15,55,35.0
59,11571,31,7408,3,6,4.5
60,11105,2,12176,5,1,3.0
61,328,46,2622,363,1262,812.5
62,13853,125,11668,3,1,2.0
63,14073,21,319,46,33,39.5
64,1954,80,677,8,6,7.0
65,2588,108,12470,22,156,89.0
66,1673,17,4361,3,1,2.0
67,2349,36,307,4,1,2.5
68,8663,82,13805,107,167,137.0
69,5898,2,11221,140,2,71.0
70,11396,108,6812,2,8,5.0
71,863,194,6008,2,5,3.5
72,11196,176,9963,5,1,3.0
73,13606,75,3056,41,4,22.5
74,8471,13,12126,1,1,1.0
75,8471,13,962,1,1,1.0
76,13165,82,13472,428,481,454.5
77,3602,105,5954,2,141,71.5
78,7575,233,4999,16,4,10.0
79,1769,126,10729,27,1,14.0
80,1265,82,5751,59,96,77.5
81,9450,39,9842,347,954,650.5
82,12907,2,2913,240,2,121.0
83,1906,125,12527,774,12,393.0
84,2826,82,11163,706,652,679.0
85,4025,2,13357,47,1,24.0
86,1993,179,4352,31,14,22.5
87,4106,59,5068,1,144,72.5
88,1822,186,3056,1246,2,624.0
89,1822,50,4021,115,89,102.0
90,1983,173,5093,3,73,38.0
91,933,201,775,18,7,12.5
92,12948,90,11812,1,1,1.0
93,11228,169,10967,2,1,1.5
94,3829,125,9307,336,54,195.0
95,3829,125,13647,104,24,64.0
96,3568,197,9448,1,1,1.0
97,3568,196,11378,6,1,3.5
98,10650,58,14037,4363,1,2182.0
99,9553,108,4396,9,20,14.5
100,7127,17,7544,1,1,1.0
101,8021,173,3938,17,5,11.0
102,5193,75,12402,54,4,29.0
103,2873,85,6373,2274,1346,1810.0
104,7931,202,11148,1,17,9.0
105,2011,182,2011,1,1,1.0
106,14446,186,4994,503,1,252.0
107,11397,159,12838,224,232,228.0
108,9825,38,13398,26,1,13.5
109,2327,125,13647,35,10,22.5
110,4912,214,6765,114,1,57.5
111,5050,164,7544,1,1,1.0
112,8352,55,10192,154,22,88.0
113,4951,105,10643,4,176,90.0
114,1776,148,5245,9,1,5.0
115,607,97,10815,50,2,26.0
116,12211,186,4994,6,1,3.5
117,13936,84,9206,1,1,1.0
118,13288,109,6991,2,5,3.5
119,13080,111,9702,293,10,151.5
120,3265,186,4994,9,1,5.0
121,1063,230,11118,1,1,1.0
122,9010,118,2539,1,60,30.5
123,2869,91,9078,6,10,8.0
124,2506,145,3056,16,1,8.5
125,3784,82,1492,1894,1044,1469.0
126,14097,125,7105,54,8,31.0
127,1418,58,14037,1,1,1.0
128,6130,190,9538,1,1,1.0
129,4221,59,900,4,17,10.5
130,4221,59,9978,13,174,93.5
131,4551,149,7253,4346,5,2175.5
132,4217,186,4994,22,1,11.5
133,1503,2,10619,1678,28,853.0
134,7505,61,3399,8,6,7.0
135,1173,125,12154,5,2,3.5
136,628,108,5857,1,3,2.0
137,13843,105,13352,2,10,6.0
138,9657,30,12516,444,369,406.5
139,916,126,11345,256,1,128.5
140,3146,75,10222,4,1,2.5
141,4257,2,5311,1,1,1.0
142,3176,111,13094,89,1,45.0
143,3176,75,9003,64,3,33.5
144,5950,134,12718,1,2,1.5
145,5950,110,4068,2,271,136.5
146,3908,88,8187,66,6,36.0
147,12200,30,12775,719,267,493.0
148,10732,123,3366,4,20,12.0
149,10732,123,10854,1,14,7.5
150,12635,101,14304,22,1,11.5
151,3527,188,6441,1031,2,516.5
