,h,r,t,head-batch,tail-batch,ranks
0,4092,23,13397,1,1,1.0
1,14132,216,331,21,13,17.0
2,668,75,1499,10,1,5.5
3,11576,31,1831,4,1135,569.5
4,11576,31,13586,1,133,67.0
5,4815,82,2917,250,370,310.0
6,915,108,1391,34,761,397.5
7,13980,170,246,1,21,11.0
8,1479,4,14355,112,5,58.5
9,14239,202,6143,40,172,106.0
10,10319,75,2414,8,4,6.0
11,6290,172,1273,95,236,165.5
12,9888,152,3778,68,2,35.0
13,7695,197,9448,27,1,14.0
14,8604,22,3568,187,18,102.5
15,8535,62,8489,181,8,94.5
16,11501,150,6765,492,1,246.5
17,4422,129,10556,2,175,88.5
18,4100,48,7862,1,42,21.5
19,4100,48,13648,1,49,25.0
20,8299,88,7169,5,6,5.5
21,6674,196,3187,1,1,1.0
22,10681,103,8429,10,2,6.0
23,1224,80,8264,2,1,1.5
24,1224,80,5111,1,1,1.0
25,9707,147,8982,247,1,124.0
26,12506,173,2307,63,484,273.5
27,31,75,3056,69,4,36.5
28,7449,30,1678,3600,11,1805.5
29,14237,168,6976,568,2224,1396.0
30,7204,97,13032,59,4,31.5
31,7834,88,12987,539,21,280.0
32,3864,66,405,2,2,2.0
33,9247,108,10434,4,8,6.0
34,9247,108,6664,1,20,10.5
35,9093,2,12176,1508,5,756.5
36,664,199,3825,2,4,3.0
37,664,199,9584,7,1071,539.0
38,664,215,14205,6,7,6.5
39,11981,6,4612,86,1,43.5
40,2471,75,11898,1,1,1.0
41,6367,140,3380,184,131,157.5
42,13083,130,3480,1,1,1.0
43,13678,110,7143,1,1196,598.5
44,13678,110,1510,3,1777,890.0
45,14084,35,6765,43,1,22.0
46,6844,2,1114,32,1,16.5
47,11173,230,10502,4,2,3.0
48,7046,149,5211,126,9,67.5
49,12012,199,4470,1,15,8.0
50,7949,108,595,1,3,2.0
51,14074,7,1651,2,3,2.5
52,11907,204,2587,5,317,161.0
53,2089,125,4486,852,56,454.0
54,1592,82,8223,1292,1299,1295.5
55,11448,60,8996,14,13,13.5
56,2593,218,2264,172,3,87.5
57,6453,148,5245,184,1,92.5
58,7996,124,6347,9,59,34.0
59,11571,31,7408,2,4,3.0
60,11105,2,12176,2,1,1.5
61,328,46,2622,286,1204,745.0
62,13853,125,11668,2,1,1.5
63,14073,21,319,39,46,42.5
64,1954,80,677,2,2,2.0
65,2588,108,12470,20,103,61.5
66,1673,17,4361,2,1,1.5
67,2349,36,307,1,1,1.0
68,8663,82,13805,35,50,42.5
69,5898,2,11221,122,1,61.5
70,11396,108,6812,2,20,11.0
71,863,194,6008,2,12,7.0
72,11196,176,9963,10,5,7.5
73,13606,75,3056,25,2,13.5
74,8471,13,12126,1,1,1.0
75,8471,13,962,4,1,2.5
76,13165,82,13472,233,215,224.0
77,3602,105,5954,1,134,67.5
78,7575,233,4999,11,2,6.5
79,1769,126,10729,10,1,5.5
80,1265,82,5751,72,99,85.5
81,9450,39,9842,197,355,276.0
82,12907,2,2913,285,3,144.0
83,1906,125,12527,853,10,431.5
84,2826,82,11163,636,755,695.5
85,4025,2,13357,35,1,18.0
86,1993,179,4352,32,9,20.5
87,4106,59,5068,1,183,92.0
88,1822,186,3056,1831,2,916.5
89,1822,50,4021,178,91,134.5
90,1983,173,5093,4,139,71.5
91,933,201,775,152,6,79.0
92,12948,90,11812,1,2,1.5
93,11228,169,10967,2,2,2.0
94,3829,125,9307,229,45,137.0
95,3829,125,13647,134,22,78.0
96,3568,197,9448,1,1,1.0
97,3568,196,11378,2,1,1.5
98,10650,58,14037,8077,1,4039.0
99,9553,108,4396,6,13,9.5
100,7127,17,7544,1,1,1.0
101,8021,173,3938,24,9,16.5
102,5193,75,12402,79,7,43.0
103,2873,85,6373,6288,3594,4941.0
104,7931,202,11148,1,12,6.5
105,2011,182,2011,1,1,1.0
106,14446,186,4994,348,1,174.5
107,11397,159,12838,1070,380,725.0
108,9825,38,13398,13,2,7.5
109,2327,125,13647,11,4,7.5
110,4912,214,6765,130,1,65.5
111,5050,164,7544,1,1,1.0
112,8352,55,10192,158,23,90.5
113,4951,105,10643,4,158,81.0
114,1776,148,5245,10,1,5.5
115,607,97,10815,31,2,16.5
116,12211,186,4994,1,1,1.0
117,13936,84,9206,1,1,1.0
118,13288,109,6991,2,5,3.5
119,13080,111,9702,84,5,44.5
120,3265,186,4994,15,1,8.0
121,1063,230,11118,1,1,1.0
122,9010,118,2539,1,47,24.0
123,2869,91,9078,4,2,3.0
124,2506,145,3056,18,1,9.5
125,3784,82,1492,2493,1025,1759.0
126,14097,125,7105,34,4,19.0
127,1418,58,14037,1,1,1.0
128,6130,190,9538,1,1,1.0
129,4221,59,900,9,45,27.0
130,4221,59,9978,6,89,47.5
131,4551,149,7253,4939,14,2476.5
132,4217,186,4994,21,1,11.0
133,1503,2,10619,1166,25,595.5
134,7505,61,3399,9,13,11.0
135,1173,125,12154,8,2,5.0
136,628,108,5857,2,4,3.0
137,13843,105,13352,2,13,7.5
138,9657,30,12516,216,129,172.5
139,916,126,11345,314,1,157.5
140,3146,75,10222,4,1,2.5
141,4257,2,5311,1,1,1.0
142,3176,111,13094,120,1,60.5
143,3176,75,9003,99,4,51.5
144,5950,134,12718,2,2,2.0
145,5950,110,4068,2,178,90.0
146,3908,88,8187,59,5,32.0
147,12200,30,12775,1784,310,1047.0
148,10732,123,3366,1,28,14.5
149,10732,123,10854,1,25,13.0
150,12635,101,14304,41,1,21.0
151,3527,188,6441,883,2,442.5
152,4952,10,7615,2,27,14.5
153,109,108,7804,1,36,18.5
154,109,108,1569,1,24,12.5
155,2398,50,1707,39,25,32.0
156,8152,2,5029,328,7,167.5
157,12104,141,12084,1296,1,648.5
158,4533,88,7169,108,16,62.0
159,3179,2,11621,5,1,3.0
160,10907,80,4422,1,7,4.0
161,3038,88,1489,87,1,44.0
162,348,31,12771,2,2,2.0
163,733,2,5029,20,1,10.5
164,8858,186,11576,153,3,78.0
165,3017,108,10973,18,242,130.0
166,2270,30,9204,89,70,79.5
167,9008,22,10377,5,7,6.0
168,8365,82,3727,2,4,3.0
169,5036,55,8372,31,3,17.0
170,9949,4,12009,2,1,1.5
171,9174,186,13398,3,1,2.0
172,10909,75,819,3,3,3.0
173,10920,215,3357,9,7,8.0
174,13076,17,13705,66,6,36.0
175,2955,113,5985,22,2,12.0
176,10938,7,9496,519,425,472.0
177,11555,204,9218,9,345,177.0
178,5190,230,11118,1,1,1.0
179,5330,81,137,2,1,1.5
180,1640,39,3378,38,205,121.5
181,10434,21,493,4,2,3.0
182,7358,110,2760,8,1328,668.0
183,11941,17,7667,316,1,158.5
184,6806,186,4994,98,1,49.5
185,538,68,9568,5,54,29.5
186,8824,82,4174,372,312,342.0
187,4205,108,11638,35,115,75.0
188,13551,123,3502,13,13,13.0
189,496,125,8182,79,4,41.5
190,5721,35,6765,28,1,14.5
191,12879,87,3406,1,1,1.0
192,13087,88,2288,28,41,34.5
193,9135,234,6765,57,1,29.0
194,9310,60,12217,160,5,82.5
195,12154,108,10566,21,81,51.0
196,7425,228,13023,232,87,159.5
197,10044,1,8100,14,5,9.5
198,12049,2,5029,489,1,245.0
199,854,82,2118,134,625,379.5
200,1103,2,3967,4,1,2.5
201,8874,22,3364,6,95,50.5
202,1294,80,6374,1,1,1.0
203,14413,81,7544,862,1,431.5
204,1001,6,4612,71,1,36.0
205,12132,111,7797,80,1,40.5
206,11492,125,12881,4,1,2.5
207,4513,199,10434,8,157,82.5
208,4513,199,12337,5,33,19.0
209,13021,60,11326,11,62,36.5
210,2238,108,12376,3,9,6.0
211,394,118,12709,1,61,31.0
212,9284,176,13873,1,3,2.0
213,14046,126,11345,155,1,78.0
214,12366,108,126,1,47,24.0
215,7570,95,8487,5,5,5.0
216,8348,235,11064,3,446,224.5
217,7727,126,11345,623,1,312.0
218,220,75,14173,10,4,7.0
219,1593,17,9929,410,9,209.5
220,12332,184,6799,2,6,4.0
221,4287,111,2852,12,1,6.5
222,4531,2,5029,51,1,26.0
223,12173,75,3031,5,1,3.0
224,7045,186,9223,37,1,19.0
225,12037,86,6222,48,11,29.5
226,4155,148,4810,1,1,1.0
227,4982,118,12982,22,15,18.5
228,11764,226,268,102,21,61.5
229,3437,111,12277,38,2,20.0
230,1607,2,937,1483,3,743.0
231,8375,22,4695,240,1,120.5
232,8509,4,3776,227,2,114.5
233,9548,58,14037,57,1,29.0
234,6443,88,3589,10,5,7.5
235,9923,69,13717,5,2,3.5
236,1286,75,5753,43,7,25.0
237,3221,10,13976,8,15,11.5
238,3928,2,13357,1,1,1.0
239,8506,81,7544,904,1,452.5
240,7703,17,239,3,3,3.0
241,3848,75,7377,3,2,2.5
242,5986,24,10371,2,56,29.0
243,4615,62,5805,35,2,18.5
244,5208,4,12009,242,4,123.0
245,1985,118,6419,3,240,121.5
246,1909,108,12008,16,495,255.5
247,3413,177,6361,1,1,1.0
248,3413,123,6759,5,2,3.5
249,6023,2,866,82,1,41.5
250,2750,204,12280,6,299,152.5
