,h,r,t,head-batch,tail-batch,ranks
0,4092,23,13397,1,1,1.0
1,14132,216,331,34,32,33.0
2,668,75,1499,11,2,6.5
3,11576,31,1831,3,2121,1062.0
4,11576,31,13586,1,189,95.0
5,4815,82,2917,756,755,755.5
6,915,108,1391,44,489,266.5
7,13980,170,246,1,18,9.5
8,1479,4,14355,66,2,34.0
9,14239,202,6143,57,200,128.5
10,10319,75,2414,9,3,6.0
11,6290,172,1273,204,249,226.5
12,9888,152,3778,102,2,52.0
13,7695,197,9448,34,1,17.5
14,8604,22,3568,227,31,129.0
15,8535,62,8489,251,5,128.0
16,11501,150,6765,129,1,65.0
17,4422,129,10556,6,140,73.0
18,4100,48,7862,1,35,18.0
19,4100,48,13648,1,48,24.5
20,8299,88,7169,5,5,5.0
21,6674,196,3187,2,1,1.5
22,10681,103,8429,10,4,7.0
23,1224,80,8264,1,1,1.0
24,1224,80,5111,1,1,1.0
25,9707,147,8982,148,2,75.0
26,12506,173,2307,36,536,286.0
27,31,75,3056,59,4,31.5
28,7449,30,1678,3216,5,1610.5
29,14237,168,6976,211,3745,1978.0
30,7204,97,13032,62,5,33.5
31,7834,88,12987,533,18,275.5
32,3864,66,405,2,2,2.0
33,9247,108,10434,4,4,4.0
34,9247,108,6664,1,3,2.0
35,9093,2,12176,708,2,355.0
36,664,199,3825,2,6,4.0
37,664,199,9584,4,511,257.5
38,664,215,14205,4,6,5.0
39,11981,6,4612,73,1,37.0
40,2471,75,11898,2,1,1.5
41,6367,140,3380,133,63,98.0
42,13083,130,3480,1,1,1.0
43,13678,110,7143,1,579,290.0
44,13678,110,1510,2,386,194.0
45,14084,35,6765,29,1,15.0
46,6844,2,1114,21,1,11.0
47,11173,230,10502,4,2,3.0
48,7046,149,5211,286,20,153.0
49,12012,199,4470,1,19,10.0
50,7949,108,595,1,3,2.0
51,14074,7,1651,2,1,1.5
52,11907,204,2587,7,277,142.0
53,2089,125,4486,780,47,413.5
54,1592,82,8223,882,667,774.5
55,11448,60,8996,155,17,86.0
56,2593,218,2264,53,1,27.0
57,6453,148,5245,713,1,357.0
58,7996,124,6347,4,21,12.5
59,11571,31,7408,2,8,5.0
60,11105,2,12176,22,1,11.5
61,328,46,2622,284,1244,764.0
62,13853,125,11668,6,1,3.5
63,14073,21,319,29,37,33.0
64,1954,80,677,6,3,4.5
65,2588,108,12470,22,134,78.0
66,1673,17,4361,37,1,19.0
67,2349,36,307,1,1,1.0
68,8663,82,13805,56,85,70.5
69,5898,2,11221,80,1,40.5
70,11396,108,6812,3,18,10.5
71,863,194,6008,2,4,3.0
72,11196,176,9963,5,1,3.0
73,13606,75,3056,32,3,17.5
74,8471,13,12126,1,1,1.0
75,8471,13,962,2,1,1.5
76,13165,82,13472,282,573,427.5
77,3602,105,5954,1,69,35.0
78,7575,233,4999,9,2,5.5
79,1769,126,10729,96,1,48.5
80,1265,82,5751,62,63,62.5
81,9450,39,9842,68,82,75.0
82,12907,2,2913,265,2,133.5
83,1906,125,12527,670,8,339.0
84,2826,82,11163,519,476,497.5
85,4025,2,13357,38,2,20.0
86,1993,179,4352,33,7,20.0
87,4106,59,5068,1,143,72.0
88,1822,186,3056,1341,3,672.0
89,1822,50,4021,116,86,101.0
90,1983,173,5093,3,93,48.0
91,933,201,775,180,6,93.0
92,12948,90,11812,1,4,2.5
93,11228,169,10967,1,2,1.5
94,3829,125,9307,248,55,151.5
95,3829,125,13647,151,40,95.5
96,3568,197,9448,5,1,3.0
97,3568,196,11378,5,1,3.0
98,10650,58,14037,7263,1,3632.0
99,9553,108,4396,11,24,17.5
100,7127,17,7544,1,1,1.0
101,8021,173,3938,18,9,13.5
102,5193,75,12402,60,5,32.5
