,h,r,t,head-batch,tail-batch,ranks
0,4092,23,13397,12221,9333,10777.0
1,14132,216,331,8202,13104,10653.0
2,668,75,1499,4086,4188,4137.0
3,11576,31,1831,11066,6117,8591.5
4,11576,31,13586,8996,4993,6994.5
5,4815,82,2917,5831,5394,5612.5
6,915,108,1391,7255,4106,5680.5
7,13980,170,246,2787,4662,3724.5
8,1479,4,14355,2512,5391,3951.5
9,14239,202,6143,12552,14070,13311.0
10,10319,75,2414,4131,5982,5056.5
11,6290,172,1273,6303,12699,9501.0
12,9888,152,3778,101,1053,577.0
13,7695,197,9448,2867,5904,4385.5
14,8604,22,3568,5123,9502,7312.5
15,8535,62,8489,5769,173,2971.0
16,11501,150,6765,9049,11056,10052.5
17,4422,129,10556,10914,5709,8311.5
18,4100,48,7862,5003,1569,3286.0
19,4100,48,13648,5064,8182,6623.0
20,8299,88,7169,2861,2970,2915.5
21,6674,196,3187,1672,301,986.5
22,10681,103,8429,11935,10440,11187.5
23,1224,80,8264,2107,5123,3615.0
24,1224,80,5111,2502,2516,2509.0
25,9707,147,8982,6643,2281,4462.0
26,12506,173,2307,6164,3811,4987.5
27,31,75,3056,7117,12880,9998.5
28,7449,30,1678,1636,662,1149.0
29,14237,168,6976,4665,6854,5759.5
30,7204,97,13032,14317,14017,14167.0
31,7834,88,12987,4011,4454,4232.5
32,3864,66,405,8827,7162,7994.5
33,9247,108,10434,202,16,109.0
34,9247,108,6664,1733,4754,3243.5
35,9093,2,12176,1341,5056,3198.5
36,664,199,3825,572,8898,4735.0
37,664,199,9584,3674,7230,5452.0
38,664,215,14205,3355,7305,5330.0
39,11981,6,4612,12745,11036,11890.5
40,2471,75,11898,13133,11170,12151.5
41,6367,140,3380,760,6816,3788.0
42,13083,130,3480,7182,10319,8750.5
43,13678,110,7143,6244,2877,4560.5
44,13678,110,1510,1651,420,1035.5
45,14084,35,6765,1010,1961,1485.5
46,6844,2,1114,2717,10447,6582.0
47,11173,230,10502,10253,11990,11121.5
48,7046,149,5211,11837,10921,11379.0
49,12012,199,4470,1594,1445,1519.5
50,7949,108,595,11697,8698,10197.5
51,14074,7,1651,7145,1964,4554.5
52,11907,204,2587,8293,3481,5887.0
53,2089,125,4486,7960,6908,7434.0
54,1592,82,8223,11837,13034,12435.5
55,11448,60,8996,10610,3652,7131.0
56,2593,218,2264,5931,11970,8950.5
57,6453,148,5245,10523,12356,11439.5
58,7996,124,6347,11011,13822,12416.5
59,11571,31,7408,6658,7531,7094.5
60,11105,2,12176,11151,8761,9956.0
61,328,46,2622,4228,1421,2824.5
62,13853,125,11668,4107,1164,2635.5
63,14073,21,319,10147,11656,10901.5
64,1954,80,677,13386,11379,12382.5
