,h,r,t,head-batch,tail-batch,ranks
0,1678,7,9202,5633,4638,5135.5
1,17935,9,35175,40646,39252,39949.0
2,785,8,23537,9816,8476,9146.0
3,16176,4,33688,28316,15077,21696.5
4,18671,0,11241,27195,37292,32243.5
5,15582,0,4030,35713,31118,33415.5
6,19165,0,2969,33358,25604,29481.0
7,16748,6,29001,10703,2950,6826.5
8,31740,0,1183,33816,32583,33199.5
9,26184,1,32091,24965,37118,31041.5
10,4194,1,6975,22210,34200,28205.0
11,15602,0,4367,10106,837,5471.5
12,24512,1,24859,2197,3019,2608.0
13,33182,0,5053,3285,1687,2486.0
14,5945,6,10270,33219,31977,32598.0
15,5109,0,22368,12077,21772,16924.5
16,20774,0,8060,4604,16493,10548.5
17,12274,1,9268,2949,9394,6171.5
18,12842,1,15886,15805,5614,10709.5
19,13394,1,3789,21233,32860,27046.5
20,38200,3,8055,31779,22236,27007.5
21,36698,0,586,25752,23589,24670.5
22,38212,2,121,15046,22744,18895.0
23,40757,0,1311,32558,40243,36400.5
24,18270,1,18269,17474,16008,16741.0
25,13049,0,4990,12952,21550,17251.0
26,29179,1,10971,18876,14080,16478.0
27,23886,0,6769,1830,937,1383.5
28,30612,0,4411,19373,12972,16172.5
29,14866,0,3633,12517,7062,9789.5
30,35748,0,11399,1071,190,630.5
31,31413,0,15186,35639,31653,33646.0
32,20145,0,11015,5641,2768,4204.5
33,40728,5,914,18146,13820,15983.0
34,5734,1,377,36972,37107,37039.5
35,1255,6,24915,11131,15502,13316.5
36,14244,1,11981,14343,20398,17370.5
37,19390,0,4369,10002,7195,8598.5
38,10990,1,4301,21368,27410,24389.0
39,16398,1,2783,33992,27144,30568.0
40,31737,0,16660,423,179,301.0
41,40758,0,6286,29976,7523,18749.5
42,40759,0,45,12208,28498,20353.0
43,30663,4,40225,22431,10285,16358.0
44,14235,0,20549,17420,25987,21703.5
45,15727,0,20842,9703,5131,7417.0
46,28017,0,10090,375,2032,1203.5
47,32851,1,11382,17706,21090,19398.0
48,21858,0,14369,11036,7052,9044.0
49,34003,0,20650,35721,22525,29123.0
50,5656,1,624,38802,31549,35175.5
51,32035,1,33317,29967,33997,31982.0
52,6074,0,11052,38149,31521,34835.0
53,31355,4,35983,26821,18793,22807.0
54,10203,0,23680,35097,20879,27988.0
55,34114,4,1598,33471,32469,32970.0
56,15430,4,617,20328,10013,15170.5
57,40760,0,3796,16521,21455,18988.0
58,27089,0,25460,28822,33851,31336.5
59,38920,0,20791,39635,38077,38856.0
60,26740,0,15987,27339,29611,28475.0
61,33592,0,3640,18289,31680,24984.5
62,21749,0,16741,18198,28971,23584.5
63,40287,6,21134,615,2947,1781.0
64,14022,1,6297,10434,23987,17210.5
65,40761,0,448,2300,716,1508.0
66,23685,1,146,33016,36285,34650.5
67,24780,0,39997,1344,8917,5130.5
68,40762,0,1763,22342,19654,20998.0
69,6572,1,6944,2391,28762,15576.5
70,4031,1,9327,31390,38159,34774.5
71,37067,1,10473,3297,8315,5806.0
72,23647,0,1338,4235,25675,14955.0
73,23277,0,13709,8469,3003,5736.0
74,3947,0,12235,35916,31034,33475.0
75,12250,1,12717,8617,2629,5623.0
76,271,6,40026,27661,38678,33169.5
77,14931,1,36099,24881,34264,29572.5
78,14576,5,2971,13257,29857,21557.0
79,7443,1,25067,3595,5397,4496.0
80,16880,0,18633,30049,11230,20639.5
81,17282,0,228,19813,26019,22916.0
82,40763,0,987,14063,17642,15852.5
83,20046,0,4696,39217,35289,37253.0
84,8415,2,7033,11678,33310,22494.0
85,15870,1,18392,30999,40898,35948.5
86,25546,5,914,20407,27177,23792.0
87,3787,1,8742,13252,35456,24354.0
88,11482,1,10803,11290,16554,13922.0
89,2901,0,30222,8096,16630,12363.0
90,13394,0,3459,23984,23567,23775.5
91,10581,4,27666,24025,23250,23637.5
92,11449,2,6220,33145,24632,28888.5
93,258,6,35861,40787,32160,36473.5
94,25183,3,11235,32274,33777,33025.5
95,15107,1,15106,10995,35579,23287.0
96,20809,4,32206,25096,30121,27608.5
97,4981,1,17073,7757,12585,10171.0
98,16542,0,4523,37208,31518,34363.0
99,10161,1,10160,3831,9307,6569.0
100,26185,1,15249,16008,23518,19763.0
101,1771,1,1770,39646,39329,39487.5
102,24128,0,8842,3787,5171,4479.0
103,26157,1,31405,27829,4010,15919.5
104,6096,1,29574,29365,14390,21877.5
105,31306,6,34770,35051,34167,34609.0
106,65,9,439,6086,10296,8191.0
107,9078,1,23938,17192,23617,20404.5
108,10215,0,5164,29697,20739,25218.0
109,1559,8,14508,34985,33325,34155.0
110,23501,0,1668,16361,38192,27276.5
111,20112,1,27611,11465,5553,8509.0
112,29717,0,30926,40381,35616,37998.5
113,40020,0,17095,27901,25750,26825.5
114,23138,0,1929,14314,19744,17029.0
115,15970,1,3369,8573,2458,5515.5
116,8306,2,25327,3732,3136,3434.0
117,32633,1,5596,35919,24053,29986.0
118,30166,0,5644,11960,29111,20535.5
119,36968,0,18425,4247,9466,6856.5
120,4765,1,4764,29033,12546,20789.5
121,13604,2,251,5076,17069,11072.5
122,37309,0,30216,6742,13937,10339.5
123,38488,0,19873,38892,40129,39510.5
124,21703,2,1136,13108,39316,26212.0
125,35289,1,33808,13624,24054,18839.0
126,7560,1,5488,22553,32246,27399.5
127,3087,1,18847,24208,32584,28396.0
128,29206,1,25712,38715,29540,34127.5
129,4485,0,608,13939,18028,15983.5
130,40764,0,29777,20714,11420,16067.0
131,13128,0,959,9102,1695,5398.5
