,h,r,t,head-batch,tail-batch,ranks
0,1678,7,9202,1,248,124.5
1,17935,9,35175,2,2,2.0
2,785,8,23537,1,36148,18074.5
3,16176,4,33688,1564,2389,1976.5
4,18671,0,11241,5,2,3.5
5,15582,0,4030,100,5,52.5
6,19165,0,2969,16382,9,8195.5
7,16748,6,29001,4,1,2.5
8,31740,0,1183,3,1,2.0
9,26184,1,32091,2,7895,3948.5
10,4194,1,6975,1,1,1.0
11,15602,0,4367,4270,52,2161.0
12,24512,1,24859,1,1,1.0
13,33182,0,5053,22458,1465,11961.5
14,5945,6,10270,6,7,6.5
15,5109,0,22368,30578,1360,15969.0
16,20774,0,8060,5,30,17.5
17,12274,1,9268,1,1,1.0
18,12842,1,15886,1,1,1.0
19,13394,1,3789,1,1,1.0
20,38200,3,8055,4,2,3.0
21,36698,0,586,10265,9,5137.0
22,38212,2,121,1237,10,623.5
23,40757,0,1311,36561,3733,20147.0
24,18270,1,18269,1,1,1.0
25,13049,0,4990,405,3,204.0
26,29179,1,10971,1,1,1.0
27,23886,0,6769,11,5,8.0
28,30612,0,4411,10282,2004,6143.0
29,14866,0,3633,43,7,25.0
30,35748,0,11399,39932,13652,26792.0
31,31413,0,15186,1,1,1.0
32,20145,0,11015,4,3,3.5
33,40728,5,914,30368,16,15192.0
34,5734,1,377,1,1,1.0
35,1255,6,24915,22762,23,11392.5
36,14244,1,11981,1,1,1.0
37,19390,0,4369,82,17,49.5
38,10990,1,4301,1,1,1.0
39,16398,1,2783,1,1,1.0
40,31737,0,16660,1,1,1.0
41,40758,0,6286,27953,4754,16353.5
42,40759,0,45,34051,2987,18519.0
43,30663,4,40225,16,144,80.0
44,14235,0,20549,70,10,40.0
45,15727,0,20842,40,20,30.0
46,28017,0,10090,40926,308,20617.0
47,32851,1,11382,1,1,1.0
48,21858,0,14369,318,10,164.0
49,34003,0,20650,20,88,54.0
50,5656,1,624,1,1,1.0
51,32035,1,33317,1,1,1.0
52,6074,0,11052,34,1835,934.5
53,31355,4,35983,64,271,167.5
54,10203,0,23680,10410,178,5294.0
55,34114,4,1598,81,17,49.0
56,15430,4,617,1,2,1.5
57,40760,0,3796,24862,960,12911.0
58,27089,0,25460,1,1,1.0
59,38920,0,20791,19,20989,10504.0
60,26740,0,15987,313,37,175.0
61,33592,0,3640,1,1,1.0
62,21749,0,16741,2,1,1.5
63,40287,6,21134,3,5,4.0
64,14022,1,6297,1,1,1.0
65,40761,0,448,33424,3453,18438.5
66,23685,1,146,1,1,1.0
67,24780,0,39997,15580,38978,27279.0
68,40762,0,1763,34415,17176,25795.5
69,6572,1,6944,1,1,1.0
70,4031,1,9327,1,1,1.0
71,37067,1,10473,1,1,1.0
72,23647,0,1338,3,1,2.0
73,23277,0,13709,38499,11,19255.0
74,3947,0,12235,1073,74,573.5
75,12250,1,12717,1,1,1.0
76,271,6,40026,102,2309,1205.5
77,14931,1,36099,3,2,2.5
78,14576,5,2971,15,3,9.0
79,7443,1,25067,1,1,1.0
80,16880,0,18633,137,8,72.5
81,17282,0,228,38632,9,19320.5
82,40763,0,987,30814,7315,19064.5
83,20046,0,4696,899,24,461.5
84,8415,2,7033,1,1,1.0
85,15870,1,18392,1,1,1.0
86,25546,5,914,12746,1,6373.5
87,3787,1,8742,1,1,1.0
88,11482,1,10803,1,1,1.0
89,2901,0,30222,18255,15470,16862.5
90,13394,0,3459,200,24,112.0
91,10581,4,27666,19745,28548,24146.5
92,11449,2,6220,465,28,246.5
93,258,6,35861,4492,23063,13777.5
94,25183,3,11235,16523,194,8358.5
95,15107,1,15106,1,1,1.0
96,20809,4,32206,9,1608,808.5
97,4981,1,17073,1,1,1.0
98,16542,0,4523,68,10,39.0
