,h,r,t,head-batch,tail-batch,ranks
0,1678,7,9202,1,16415,8208.0
1,17935,9,35175,2,2,2.0
2,785,8,23537,1,37822,18911.5
3,16176,4,33688,777,2656,1716.5
4,18671,0,11241,23,2,12.5
5,15582,0,4030,387,7,197.0
6,19165,0,2969,25482,19,12750.5
7,16748,6,29001,3,1,2.0
8,31740,0,1183,22,1,11.5
9,26184,1,32091,1,28542,14271.5
10,4194,1,6975,1,1,1.0
11,15602,0,4367,3098,79,1588.5
12,24512,1,24859,1,1,1.0
13,33182,0,5053,33806,878,17342.0
14,5945,6,10270,4,3,3.5
15,5109,0,22368,29715,648,15181.5
16,20774,0,8060,1428,485,956.5
17,12274,1,9268,1,1,1.0
18,12842,1,15886,1,1,1.0
19,13394,1,3789,1,1,1.0
20,38200,3,8055,2,1,1.5
21,36698,0,586,37863,15,18939.0
22,38212,2,121,2301,39,1170.0
23,40757,0,1311,40394,1717,21055.5
24,18270,1,18269,1,1,1.0
25,13049,0,4990,653,3,328.0
26,29179,1,10971,1,1,1.0
27,23886,0,6769,62,9,35.5
28,30612,0,4411,24738,4420,14579.0
29,14866,0,3633,934,5,469.5
30,35748,0,11399,37115,9990,23552.5
31,31413,0,15186,11,1,6.0
32,20145,0,11015,9,1,5.0
33,40728,5,914,38683,165,19424.0
34,5734,1,377,1,1,1.0
35,1255,6,24915,29700,37,14868.5
36,14244,1,11981,1,1,1.0
37,19390,0,4369,74,21,47.5
38,10990,1,4301,1,1,1.0
39,16398,1,2783,1,1,1.0
40,31737,0,16660,1,1,1.0
41,40758,0,6286,40734,4963,22848.5
42,40759,0,45,40375,3113,21744.0
43,30663,4,40225,13,172,92.5
44,14235,0,20549,900,14,457.0
45,15727,0,20842,78,114,96.0
46,28017,0,10090,40913,461,20687.0
47,32851,1,11382,97,1,49.0
48,21858,0,14369,38410,425,19417.5
49,34003,0,20650,344,315,329.5
50,5656,1,624,1,1,1.0
51,32035,1,33317,1,1,1.0
52,6074,0,11052,42,202,122.0
53,31355,4,35983,93,325,209.0
54,10203,0,23680,880,155,517.5
55,34114,4,1598,141,62,101.5
56,15430,4,617,1,2,1.5
57,40760,0,3796,40518,2733,21625.5
58,27089,0,25460,1,1,1.0
59,38920,0,20791,8835,19324,14079.5
60,26740,0,15987,119,11,65.0
61,33592,0,3640,6,1,3.5
62,21749,0,16741,4,2,3.0
63,40287,6,21134,5768,614,3191.0
64,14022,1,6297,1,1,1.0
65,40761,0,448,40433,1345,20889.0
66,23685,1,146,1,1,1.0
67,24780,0,39997,36157,37249,36703.0
68,40762,0,1763,40284,584,20434.0
69,6572,1,6944,1,1,1.0
