,h,r,t,head-batch,tail-batch,ranks
0,1678,7,9202,1,48,24.5
1,17935,9,35175,1,1,1.0
2,785,8,23537,40938,21581,31259.5
3,16176,4,33688,1398,1251,1324.5
4,18671,0,11241,5,2,3.5
5,15582,0,4030,9,2,5.5
6,19165,0,2969,11874,12685,12279.5
7,16748,6,29001,3,1,2.0
8,31740,0,1183,2,1,1.5
9,26184,1,32091,2,10,6.0
10,4194,1,6975,1,1,1.0
11,15602,0,4367,39325,40846,40085.5
12,24512,1,24859,1,1,1.0
13,33182,0,5053,15520,17098,16309.0
14,5945,6,10270,8,51,29.5
15,5109,0,22368,4711,7779,6245.0
16,20774,0,8060,6,24,15.0
17,12274,1,9268,1,1,1.0
18,12842,1,15886,1,1,1.0
19,13394,1,3789,1,1,1.0
20,38200,3,8055,2,1,1.5
21,36698,0,586,3229,30562,16895.5
22,38212,2,121,375,4,189.5
23,40757,0,1311,16800,40879,28839.5
24,18270,1,18269,1,1,1.0
25,13049,0,4990,20,4,12.0
26,29179,1,10971,1,1,1.0
27,23886,0,6769,7,4,5.5
28,30612,0,4411,14528,16960,15744.0
29,14866,0,3633,311,89,200.0
30,35748,0,11399,24561,28646,26603.5
31,31413,0,15186,1,1,1.0
32,20145,0,11015,4,1,2.5
33,40728,5,914,18420,40922,29671.0
34,5734,1,377,1,1,1.0
35,1255,6,24915,13602,14033,13817.5
36,14244,1,11981,1,1,1.0
37,19390,0,4369,2642,2083,2362.5
38,10990,1,4301,1,1,1.0
39,16398,1,2783,1,1,1.0
40,31737,0,16660,1,1,1.0
41,40758,0,6286,17494,38433,27963.5
42,40759,0,45,22168,40840,31504.0
43,30663,4,40225,22,62,42.0
44,14235,0,20549,6,2,4.0
45,15727,0,20842,577,1071,824.0
46,28017,0,10090,20119,33035,26577.0
47,32851,1,11382,2,1,1.5
48,21858,0,14369,35510,39162,37336.0
49,34003,0,20650,13,13,13.0
50,5656,1,624,1,1,1.0
51,32035,1,33317,1,1,1.0
52,6074,0,11052,2604,7650,5127.0
53,31355,4,35983,28,170,99.0
54,10203,0,23680,1402,2365,1883.5
55,34114,4,1598,6,56,31.0
56,15430,4,617,1,1,1.0
57,40760,0,3796,15221,35093,25157.0
58,27089,0,25460,1,1,1.0
59,38920,0,20791,650,696,673.0
60,26740,0,15987,205,186,195.5
61,33592,0,3640,9,1,5.0
