,h,r,t,head-batch,tail-batch,ranks
0,1678,7,9202,40789,31960,36374.5
1,17935,9,35175,40031,39359,39695.0
2,785,8,23537,16763,14069,15416.0
3,16176,4,33688,16344,12716,14530.0
4,18671,0,11241,36367,28563,32465.0
5,15582,0,4030,25720,26781,26250.5
6,19165,0,2969,15214,15262,15238.0
7,16748,6,29001,16081,34954,25517.5
8,31740,0,1183,38646,36638,37642.0
9,26184,1,32091,10977,2132,6554.5
10,4194,1,6975,24359,23838,24098.5
11,15602,0,4367,22775,32102,27438.5
12,24512,1,24859,21247,16375,18811.0
13,33182,0,5053,2298,5503,3900.5
14,5945,6,10270,4737,9689,7213.0
15,5109,0,22368,22215,7660,14937.5
16,20774,0,8060,6265,543,3404.0
17,12274,1,9268,22487,29735,26111.0
18,12842,1,15886,38015,30522,34268.5
19,13394,1,3789,20682,24562,22622.0
20,38200,3,8055,20114,30286,25200.0
21,36698,0,586,3126,110,1618.0
22,38212,2,121,3840,9085,6462.5
23,40757,0,1311,30844,30526,30685.0
24,18270,1,18269,15006,10023,12514.5
25,13049,0,4990,21942,11226,16584.0
26,29179,1,10971,33135,30998,32066.5
27,23886,0,6769,14920,5398,10159.0
28,30612,0,4411,26125,25580,25852.5
29,14866,0,3633,26733,20639,23686.0
30,35748,0,11399,3114,25805,14459.5
31,31413,0,15186,26388,27548,26968.0
32,20145,0,11015,6228,13512,9870.0
33,40728,5,914,35178,23827,29502.5
34,5734,1,377,10558,4562,7560.0
35,1255,6,24915,29264,34547,31905.5
36,14244,1,11981,9820,3376,6598.0
37,19390,0,4369,28392,26646,27519.0
38,10990,1,4301,1444,203,823.5
39,16398,1,2783,10473,28489,19481.0
40,31737,0,16660,26193,27312,26752.5
41,40758,0,6286,39655,39148,39401.5
42,40759,0,45,7905,11395,9650.0
43,30663,4,40225,2206,16221,9213.5
44,14235,0,20549,19087,37859,28473.0
45,15727,0,20842,15365,23728,19546.5
46,28017,0,10090,14529,9169,11849.0
47,32851,1,11382,13311,21894,17602.5
