,h,r,t,head-batch,tail-batch,ranks
0,1678,7,9202,1,695,348.0
1,17935,9,35175,1,2,1.5
2,785,8,23537,1,35812,17906.5
3,16176,4,33688,760,1145,952.5
4,18671,0,11241,3,1,2.0
5,15582,0,4030,67,5,36.0
6,19165,0,2969,3012,24,1518.0
7,16748,6,29001,1,1,1.0
8,31740,0,1183,8,1,4.5
9,26184,1,32091,1,14322,7161.5
10,4194,1,6975,1,1,1.0
11,15602,0,4367,9352,647,4999.5
12,24512,1,24859,1,1,1.0
13,33182,0,5053,3668,92,1880.0
14,5945,6,10270,10,8,9.0
15,5109,0,22368,3057,240,1648.5
16,20774,0,8060,65,637,351.0
17,12274,1,9268,1,1,1.0
18,12842,1,15886,1,1,1.0
19,13394,1,3789,1,1,1.0
20,38200,3,8055,1,1,1.0
21,36698,0,586,9535,13,4774.0
22,38212,2,121,992,26,509.0
23,40757,0,1311,40878,5502,23190.0
24,18270,1,18269,1,1,1.0
25,13049,0,4990,68,2,35.0
26,29179,1,10971,1,1,1.0
27,23886,0,6769,11,4,7.5
28,30612,0,4411,15954,2634,9294.0
29,14866,0,3633,9,3,6.0
30,35748,0,11399,38572,2209,20390.5
31,31413,0,15186,2,1,1.5
32,20145,0,11015,6,3,4.5
33,40728,5,914,40161,2,20081.5
34,5734,1,377,1,1,1.0
35,1255,6,24915,25367,11,12689.0
36,14244,1,11981,1,1,1.0
37,19390,0,4369,28,18,23.0
38,10990,1,4301,1,1,1.0
39,16398,1,2783,1,1,1.0
40,31737,0,16660,1,1,1.0
41,40758,0,6286,40565,3215,21890.0
42,40759,0,45,40613,2755,21684.0
43,30663,4,40225,13,123,68.0
44,14235,0,20549,65,7,36.0
45,15727,0,20842,41,16,28.5
46,28017,0,10090,40324,94,20209.0
47,32851,1,11382,1,1,1.0
48,21858,0,14369,29197,11,14604.0
49,34003,0,20650,38,1301,669.5
50,5656,1,624,1,1,1.0
51,32035,1,33317,1,1,1.0
52,6074,0,11052,42,893,467.5
53,31355,4,35983,49,247,148.0
54,10203,0,23680,639,63,351.0
55,34114,4,1598,16,75,45.5
56,15430,4,617,1,1,1.0
57,40760,0,3796,40572,4303,22437.5
58,27089,0,25460,1,1,1.0
59,38920,0,20791,44,6932,3488.0
60,26740,0,15987,157,16,86.5
61,33592,0,3640,1,1,1.0
62,21749,0,16741,2,1,1.5
63,40287,6,21134,5,5,5.0
64,14022,1,6297,1,1,1.0
65,40761,0,448,40702,2027,21364.5
66,23685,1,146,1,1,1.0
67,24780,0,39997,18369,32807,25588.0
68,40762,0,1763,40847,6443,23645.0
69,6572,1,6944,1,1,1.0
70,4031,1,9327,1,1,1.0
71,37067,1,10473,1,1,1.0
72,23647,0,1338,3,1,2.0
73,23277,0,13709,16628,6,8317.0
74,3947,0,12235,20,13,16.5
75,12250,1,12717,1,1,1.0
76,271,6,40026,24,17881,8952.5
77,14931,1,36099,6,2,4.0
78,14576,5,2971,16,2,9.0
79,7443,1,25067,1,1,1.0
80,16880,0,18633,120,8,64.0
81,17282,0,228,21357,45,10701.0
82,40763,0,987,40675,6003,23339.0
83,20046,0,4696,215,15,115.0
84,8415,2,7033,1,1,1.0
85,15870,1,18392,1,1,1.0
86,25546,5,914,27778,1,13889.5
87,3787,1,8742,1,1,1.0
88,11482,1,10803,1,1,1.0
89,2901,0,30222,19950,14938,17444.0
90,13394,0,3459,43,8,25.5
91,10581,4,27666,22841,28299,25570.0
92,11449,2,6220,73,27,50.0
93,258,6,35861,794,38229,19511.5
94,25183,3,11235,18440,240,9340.0
95,15107,1,15106,1,1,1.0
96,20809,4,32206,8,1356,682.0
97,4981,1,17073,1,1,1.0
98,16542,0,4523,53,9,31.0
99,10161,1,10160,1,1,1.0
100,26185,1,15249,1,1,1.0
101,1771,1,1770,1,1,1.0
102,24128,0,8842,782,28,405.0
103,26157,1,31405,1,1,1.0
104,6096,1,29574,1,1,1.0
105,31306,6,34770,39827,62,19944.5
106,65,9,439,2,2,2.0
107,9078,1,23938,1,1,1.0
108,10215,0,5164,12198,57,6127.5
109,1559,8,14508,1,16,8.5
110,23501,0,1668,1059,2,530.5
111,20112,1,27611,1,1,1.0
112,29717,0,30926,38105,16985,27545.0
113,40020,0,17095,35836,1171,18503.5
114,23138,0,1929,1,2,1.5
115,15970,1,3369,1,1,1.0
116,8306,2,25327,5,4,4.5
117,32633,1,5596,1,1,1.0
118,30166,0,5644,3,2,2.5
119,36968,0,18425,560,300,430.0
120,4765,1,4764,1,1,1.0
121,13604,2,251,1,1,1.0
122,37309,0,30216,254,25450,12852.0
123,38488,0,19873,40432,9460,24946.0
124,21703,2,1136,9,1,5.0
125,35289,1,33808,1,1,1.0
126,7560,1,5488,1,1,1.0
127,3087,1,18847,1,1,1.0
128,29206,1,25712,1,1,1.0
129,4485,0,608,21,9,15.0
130,40764,0,29777,40762,2094,21428.0
131,13128,0,959,3812,5,1908.5
132,14092,1,7130,1,1,1.0
133,40765,0,18,40730,5910,23320.0
134,37609,0,25129,9847,543,5195.0
135,3268,1,10028,1,1,1.0
136,40766,0,35564,40647,32413,36530.0
137,15729,1,12999,1,4,2.5
138,35258,4,25396,15,6,10.5
139,38187,1,29741,1,1,1.0
140,40767,0,15247,40790,13701,27245.5
141,1678,7,30089,1,8477,4239.0
142,27131,1,17012,1,1,1.0
143,15936,0,23068,1,2,1.5
144,7803,1,13968,2,2,2.0
145,40572,0,32910,40564,12377,26470.5
146,14004,0,25065,2,4,3.0
147,32733,0,248,33458,517,16987.5
148,30194,0,7722,2529,2,1265.5
149,23606,0,4877,70,4,37.0
150,30622,0,2318,10,1,5.5
151,3443,1,12083,1,1,1.0
152,4423,0,24850,15,17,16.0
153,1038,4,40447,1,86,43.5
154,23751,4,8080,1,14,7.5
155,25625,5,2176,2559,1,1280.0
156,29637,0,28168,25,18,21.5
157,19621,0,11241,2,1,1.5
158,785,7,11761,240,6782,3511.0
159,17924,0,7315,9826,879,5352.5
160,13300,0,11301,486,33,259.5
161,34851,4,31118,6,10,8.0
162,20006,0,608,22525,21,11273.0
163,40242,0,24346,3483,12600,8041.5
164,26644,1,16054,1,1,1.0
165,8110,0,12168,29,4,16.5
166,22455,6,27199,69,15772,7920.5
167,7288,1,36878,1,1,1.0
168,40768,0,1784,40657,966,20811.5
169,27441,0,25270,13982,24370,19176.0
