,h,r,t,head-batch,tail-batch,ranks
0,1678,7,9202,6681,433,3557.0
1,17935,9,35175,38415,38880,38647.5
2,785,8,23537,5933,11978,8955.5
3,16176,4,33688,26386,13951,20168.5
4,18671,0,11241,16241,6258,11249.5
5,15582,0,4030,20433,27937,24185.0
6,19165,0,2969,1761,12063,6912.0
7,16748,6,29001,1149,3085,2117.0
8,31740,0,1183,17037,16846,16941.5
9,26184,1,32091,39467,9520,24493.5
10,4194,1,6975,24484,33748,29116.0
11,15602,0,4367,4059,3473,3766.0
12,24512,1,24859,11680,12151,11915.5
13,33182,0,5053,8223,2845,5534.0
14,5945,6,10270,26264,8599,17431.5
15,5109,0,22368,37441,27910,32675.5
16,20774,0,8060,6244,9077,7660.5
17,12274,1,9268,6905,8580,7742.5
18,12842,1,15886,25340,17783,21561.5
19,13394,1,3789,31823,29756,30789.5
20,38200,3,8055,27573,28076,27824.5
21,36698,0,586,18906,19074,18990.0
22,38212,2,121,39793,40778,40285.5
23,40757,0,1311,34781,35058,34919.5
24,18270,1,18269,7984,13740,10862.0
25,13049,0,4990,8181,21354,14767.5
26,29179,1,10971,32203,21457,26830.0
27,23886,0,6769,13741,14445,14093.0
28,30612,0,4411,16867,6016,11441.5
29,14866,0,3633,3646,14717,9181.5
30,35748,0,11399,5229,5522,5375.5
31,31413,0,15186,5303,8597,6950.0
32,20145,0,11015,21493,22924,22208.5
33,40728,5,914,31672,34193,32932.5
34,5734,1,377,6810,855,3832.5
35,1255,6,24915,11421,9266,10343.5
36,14244,1,11981,39797,40229,40013.0
37,19390,0,4369,3485,6169,4827.0
38,10990,1,4301,36040,10582,23311.0
39,16398,1,2783,2451,8059,5255.0
40,31737,0,16660,17080,23425,20252.5
41,40758,0,6286,34619,38752,36685.5
42,40759,0,45,14904,4141,9522.5
43,30663,4,40225,27424,26062,26743.0
44,14235,0,20549,9754,37711,23732.5
45,15727,0,20842,3654,14501,9077.5
46,28017,0,10090,29656,29083,29369.5
47,32851,1,11382,18818,11112,14965.0
48,21858,0,14369,6348,10824,8586.0
49,34003,0,20650,21919,38458,30188.5
50,5656,1,624,1885,5212,3548.5
51,32035,1,33317,115,14700,7407.5
52,6074,0,11052,31789,16505,24147.0
53,31355,4,35983,26576,7202,16889.0
54,10203,0,23680,35627,36408,36017.5
55,34114,4,1598,11204,5050,8127.0
56,15430,4,617,29835,37547,33691.0
57,40760,0,3796,9108,11859,10483.5
58,27089,0,25460,37960,32757,35358.5
59,38920,0,20791,20699,17193,18946.0
60,26740,0,15987,3488,1112,2300.0
61,33592,0,3640,22041,33271,27656.0
62,21749,0,16741,40647,40561,40604.0
63,40287,6,21134,20924,29875,25399.5
64,14022,1,6297,36052,26163,31107.5
65,40761,0,448,22969,28175,25572.0
66,23685,1,146,26478,28757,27617.5
67,24780,0,39997,7313,9029,8171.0
68,40762,0,1763,34565,37650,36107.5
69,6572,1,6944,37783,27249,32516.0
70,4031,1,9327,9936,1439,5687.5
71,37067,1,10473,24557,26447,25502.0
72,23647,0,1338,30844,28583,29713.5
73,23277,0,13709,24408,38318,31363.0
74,3947,0,12235,13319,15452,14385.5
75,12250,1,12717,26412,19991,23201.5
76,271,6,40026,11577,16380,13978.5
77,14931,1,36099,20311,18292,19301.5
78,14576,5,2971,24666,17337,21001.5
79,7443,1,25067,23899,38796,31347.5
80,16880,0,18633,11118,14855,12986.5
81,17282,0,228,39116,38757,38936.5
82,40763,0,987,17374,14872,16123.0
83,20046,0,4696,35419,35276,35347.5
84,8415,2,7033,2496,8040,5268.0
85,15870,1,18392,24394,27479,25936.5
86,25546,5,914,5264,13182,9223.0
87,3787,1,8742,22261,34071,28166.0
88,11482,1,10803,28211,21743,24977.0
89,2901,0,30222,29807,36865,33336.0
90,13394,0,3459,8836,3003,5919.5
91,10581,4,27666,15286,9478,12382.0
92,11449,2,6220,19280,22788,21034.0
93,258,6,35861,22726,5799,14262.5
94,25183,3,11235,9615,19421,14518.0
95,15107,1,15106,39338,40264,39801.0
96,20809,4,32206,11746,10701,11223.5
97,4981,1,17073,17997,24620,21308.5
98,16542,0,4523,4354,9040,6697.0
99,10161,1,10160,21222,12741,16981.5
100,26185,1,15249,29822,39993,34907.5
101,1771,1,1770,39476,40513,39994.5
