,h,r,t,head-batch,tail-batch,ranks
0,1678,7,9202,1,18,9.5
1,17935,9,35175,1,1,1.0
2,785,8,23537,10,29683,14846.5
3,16176,4,33688,232,1036,634.0
4,18671,0,11241,7,1,4.0
5,15582,0,4030,69,3,36.0
6,19165,0,2969,22,18,20.0
7,16748,6,29001,4,2,3.0
8,31740,0,1183,26,1,13.5
9,26184,1,32091,1,9,5.0
10,4194,1,6975,1,1,1.0
11,15602,0,4367,9466,189,4827.5
12,24512,1,24859,1,1,1.0
13,33182,0,5053,617,46,331.5
14,5945,6,10270,9,14,11.5
15,5109,0,22368,1117,725,921.0
16,20774,0,8060,8,24,16.0
17,12274,1,9268,1,1,1.0
18,12842,1,15886,1,1,1.0
19,13394,1,3789,1,1,1.0
20,38200,3,8055,1,1,1.0
21,36698,0,586,742,30,386.0
22,38212,2,121,667,4,335.5
23,40757,0,1311,40831,9951,25391.0
24,18270,1,18269,1,1,1.0
25,13049,0,4990,56,2,29.0
26,29179,1,10971,1,1,1.0
27,23886,0,6769,4,2,3.0
28,30612,0,4411,18137,2668,10402.5
29,14866,0,3633,53,12,32.5
30,35748,0,11399,40480,355,20417.5
31,31413,0,15186,4,1,2.5
32,20145,0,11015,4,3,3.5
33,40728,5,914,40628,6774,23701.0
34,5734,1,377,1,1,1.0
35,1255,6,24915,26,11,18.5
36,14244,1,11981,1,1,1.0
37,19390,0,4369,44,14,29.0
38,10990,1,4301,1,1,1.0
39,16398,1,2783,1,1,1.0
40,31737,0,16660,1,1,1.0
41,40758,0,6286,40624,8507,24565.5
42,40759,0,45,40622,3465,22043.5
43,30663,4,40225,24,26,25.0
44,14235,0,20549,12,15,13.5
45,15727,0,20842,23,15,19.0
46,28017,0,10090,32738,501,16619.5
47,32851,1,11382,1,1,1.0
48,21858,0,14369,8314,259,4286.5
49,34003,0,20650,35,42,38.5
50,5656,1,624,1,1,1.0
51,32035,1,33317,1,1,1.0
52,6074,0,11052,139,67,103.0
53,31355,4,35983,41,23,32.0
54,10203,0,23680,664,50,357.0
55,34114,4,1598,6,249,127.5
56,15430,4,617,1,1,1.0
57,40760,0,3796,40786,9408,25097.0
58,27089,0,25460,1,1,1.0
59,38920,0,20791,444,82,263.0
60,26740,0,15987,147,14,80.5
61,33592,0,3640,4,1,2.5
62,21749,0,16741,2,1,1.5
63,40287,6,21134,4,5,4.5
64,14022,1,6297,1,1,1.0
65,40761,0,448,40757,8045,24401.0
66,23685,1,146,1,1,1.0
67,24780,0,39997,394,1002,698.0
68,40762,0,1763,40851,17903,29377.0
69,6572,1,6944,1,1,1.0
70,4031,1,9327,1,1,1.0
71,37067,1,10473,1,1,1.0
72,23647,0,1338,2,1,1.5
73,23277,0,13709,438,6,222.0
74,3947,0,12235,56,19,37.5
75,12250,1,12717,1,1,1.0
76,271,6,40026,76,1385,730.5
77,14931,1,36099,3,5,4.0
78,14576,5,2971,27,2,14.5
79,7443,1,25067,1,1,1.0
80,16880,0,18633,286,11,148.5
81,17282,0,228,8687,20,4353.5
82,40763,0,987,40711,10068,25389.5
83,20046,0,4696,115,11,63.0
84,8415,2,7033,1,1,1.0
85,15870,1,18392,1,1,1.0
86,25546,5,914,2837,2,1419.5
87,3787,1,8742,1,1,1.0
88,11482,1,10803,1,1,1.0
89,2901,0,30222,22891,14425,18658.0
90,13394,0,3459,63,9,36.0
91,10581,4,27666,1080,1589,1334.5
92,11449,2,6220,33,19,26.0
93,258,6,35861,18,3777,1897.5
94,25183,3,11235,1502,179,840.5
95,15107,1,15106,1,1,1.0
96,20809,4,32206,21,321,171.0
97,4981,1,17073,1,1,1.0
98,16542,0,4523,78,13,45.5
99,10161,1,10160,1,1,1.0
100,26185,1,15249,1,1,1.0
101,1771,1,1770,1,1,1.0
102,24128,0,8842,4195,60,2127.5
103,26157,1,31405,1,1,1.0
104,6096,1,29574,1,1,1.0
105,31306,6,34770,1068,97,582.5
106,65,9,439,1,1,1.0
107,9078,1,23938,1,1,1.0
108,10215,0,5164,1978,84,1031.0
109,1559,8,14508,1,18,9.5
110,23501,0,1668,2501,5,1253.0
111,20112,1,27611,1,1,1.0
112,29717,0,30926,27702,8892,18297.0
113,40020,0,17095,31027,822,15924.5
114,23138,0,1929,2,2,2.0
115,15970,1,3369,1,1,1.0
116,8306,2,25327,5,2,3.5
117,32633,1,5596,1,1,1.0
118,30166,0,5644,11,2,6.5
119,36968,0,18425,3342,110,1726.0
120,4765,1,4764,1,1,1.0
121,13604,2,251,1,1,1.0
122,37309,0,30216,854,31,442.5
123,38488,0,19873,16300,9392,12846.0
124,21703,2,1136,83,2,42.5
125,35289,1,33808,1,1,1.0
126,7560,1,5488,1,1,1.0
127,3087,1,18847,1,1,1.0
128,29206,1,25712,1,1,1.0
129,4485,0,608,131,19,75.0
130,40764,0,29777,40759,3887,22323.0
131,13128,0,959,2015,7,1011.0
132,14092,1,7130,1,1,1.0
133,40765,0,18,40643,833,20738.0
134,37609,0,25129,12297,978,6637.5
135,3268,1,10028,1,1,1.0
136,40766,0,35564,40717,30832,35774.5
137,15729,1,12999,1,4,2.5
138,35258,4,25396,10,11,10.5
139,38187,1,29741,1,1,1.0
140,40767,0,15247,40763,32134,36448.5
141,1678,7,30089,1,62,31.5
142,27131,1,17012,1,1,1.0
143,15936,0,23068,1,1,1.0
144,7803,1,13968,2,1,1.5
145,40572,0,32910,40584,13386,26985.0
146,14004,0,25065,1,1,1.0
147,32733,0,248,8563,345,4454.0
148,30194,0,7722,838,111,474.5
149,23606,0,4877,82,7,44.5
150,30622,0,2318,47,4,25.5
151,3443,1,12083,1,1,1.0
152,4423,0,24850,19,7,13.0
153,1038,4,40447,1,46,23.5
154,23751,4,8080,2,25,13.5
155,25625,5,2176,332,1,166.5
156,29637,0,28168,8,15,11.5
157,19621,0,11241,2,1,1.5
158,785,7,11761,72,10045,5058.5
159,17924,0,7315,16241,1861,9051.0
160,13300,0,11301,956,65,510.5
161,34851,4,31118,4,6,5.0
162,20006,0,608,20965,21,10493.0
163,40242,0,24346,8060,938,4499.0
164,26644,1,16054,1,1,1.0
165,8110,0,12168,19,4,11.5
166,22455,6,27199,306,569,437.5
167,7288,1,36878,1,1,1.0
168,40768,0,1784,40675,183,20429.0
169,27441,0,25270,3139,6781,4960.0
170,12380,1,20717,1,1,1.0
171,176,1,25906,15,4,9.5
172,40769,0,10981,40728,20547,30637.5
173,24894,0,7247,15,4,9.5
174,17047,0,13439,2631,858,1744.5
175,40770,0,3005,40733,12392,26562.5
176,12740,4,40747,29554,40698,35126.0
177,16545,1,14634,1,1,1.0
178,4313,1,3457,1,1,1.0
179,1482,0,13752,7,14,10.5
180,28721,1,22741,1,1,1.0
181,3761,0,8987,3976,1123,2549.5
182,7280,1,26118,1,1,1.0
183,38386,0,1904,1,1,1.0
184,38875,0,2318,248,3,125.5
185,6607,1,11157,1,1,1.0
186,637,6,40404,3,835,419.0
187,5767,4,21704,1,1,1.0
188,3432,4,7926,2,2,2.0
189,3509,0,3407,7,4,5.5
190,35086,0,1929,3,1,2.0
191,24287,1,17938,1,1,1.0
192,9673,1,8487,1,2,1.5
193,3814,1,3548,1,1,1.0
194,23744,0,296,148,4,76.0
195,36798,0,51,773,2,387.5
196,20051,1,20050,1,1,1.0
197,20861,1,5558,1,1,1.0
198,26868,0,6233,4,5,4.5
199,37434,0,917,1641,156,898.5
200,20402,0,16155,1695,118,906.5
201,30004,0,2482,12,1,6.5
202,39024,0,29467,22527,19364,20945.5
203,36561,5,129,88,1,44.5
204,406,1,1287,1,1,1.0
205,18612,4,33576,6,9,7.5
206,5940,0,532,2,1,1.5
207,40771,0,10613,40708,21298,31003.0
208,29184,1,22723,1,1,1.0
209,6386,0,26454,5875,155,3015.0
210,3277,1,37105,1,1,1.0
211,31630,0,33081,40470,11362,25916.0
212,9757,0,608,1689,20,854.5
213,1354,1,1353,1,1,1.0
214,4940,6,40772,8283,40884,24583.5
215,24366,1,7539,1,1,1.0
216,9683,6,40773,20723,40677,30700.0
217,33864,0,13576,134,12,73.0
218,28351,1,685,1,1,1.0
