,h,r,t,head-batch,tail-batch,ranks
0,1678,7,9202,2,25,13.5
1,17935,9,35175,2,4,3.0
2,785,8,23537,16,32269,16142.5
3,16176,4,33688,28,246,137.0
4,18671,0,11241,23,4,13.5
5,15582,0,4030,166,8,87.0
6,19165,0,2969,72,21,46.5
7,16748,6,29001,9,9,9.0
8,31740,0,1183,44,5,24.5
9,26184,1,32091,4,9,6.5
10,4194,1,6975,2,2,2.0
11,15602,0,4367,11333,177,5755.0
12,24512,1,24859,2,2,2.0
13,33182,0,5053,3775,742,2258.5
14,5945,6,10270,6,5,5.5
15,5109,0,22368,2471,698,1584.5
16,20774,0,8060,3,9,6.0
17,12274,1,9268,2,2,2.0
18,12842,1,15886,2,3,2.5
19,13394,1,3789,2,2,2.0
20,38200,3,8055,3,2,2.5
21,36698,0,586,973,38,505.5
22,38212,2,121,653,6,329.5
23,40757,0,1311,40772,10101,25436.5
24,18270,1,18269,2,2,2.0
25,13049,0,4990,57,3,30.0
26,29179,1,10971,2,2,2.0
27,23886,0,6769,4,4,4.0
28,30612,0,4411,13992,2294,8143.0
29,14866,0,3633,9,4,6.5
30,35748,0,11399,40471,1279,20875.0
31,31413,0,15186,6,8,7.0
32,20145,0,11015,18,7,12.5
33,40728,5,914,40553,3594,22073.5
34,5734,1,377,2,2,2.0
35,1255,6,24915,30,19,24.5
36,14244,1,11981,3,2,2.5
37,19390,0,4369,92,27,59.5
38,10990,1,4301,2,2,2.0
39,16398,1,2783,3,4,3.5
40,31737,0,16660,2,2,2.0
41,40758,0,6286,40704,14319,27511.5
42,40759,0,45,40687,5548,23117.5
43,30663,4,40225,29,51,40.0
44,14235,0,20549,32,10,21.0
45,15727,0,20842,3,4,3.5
46,28017,0,10090,28101,739,14420.0
47,32851,1,11382,4,4,4.0
48,21858,0,14369,562,16,289.0
49,34003,0,20650,9,7,8.0
50,5656,1,624,2,2,2.0
51,32035,1,33317,2,2,2.0
52,6074,0,11052,45,39,42.0
53,31355,4,35983,123,114,118.5
54,10203,0,23680,9479,297,4888.0
55,34114,4,1598,4,7,5.5
56,15430,4,617,1,1,1.0
57,40760,0,3796,40832,15005,27918.5
58,27089,0,25460,2,2,2.0
59,38920,0,20791,22,21,21.5
60,26740,0,15987,258,36,147.0
61,33592,0,3640,11,3,7.0
62,21749,0,16741,13,4,8.5
63,40287,6,21134,5,6,5.5
64,14022,1,6297,2,2,2.0
65,40761,0,448,40855,18693,29774.0
