,h,r,t,head-batch,tail-batch,ranks
0,717,0,1304,18,362,190.0
1,293,0,1803,24,150,87.0
2,1116,0,1735,80,335,207.5
3,1295,0,1748,246,169,207.5
4,1222,0,1305,88,61,74.5
5,733,0,646,6,464,235.0
6,305,0,225,326,1064,695.0
7,1281,0,1791,43,29,36.0
8,1308,0,1681,10,14,12.0
9,68,0,1453,18,352,185.0
10,1073,0,1321,12,17,14.5
11,861,0,865,94,109,101.5
12,1063,0,1183,7,31,19.0
13,1212,0,1214,14,11,12.5
14,1311,0,1327,250,732,491.0
15,1334,0,1448,177,252,214.5
16,567,0,1138,2,5,3.5
17,1348,0,217,576,302,439.0
18,1116,0,1906,9,16,12.5
19,1063,0,1141,1,4,2.5
20,1006,0,1538,5,196,100.5
21,1328,0,167,41,199,120.0
22,935,0,973,170,199,184.5
23,916,0,925,21,27,24.0
24,1873,0,31,17,20,18.5
25,181,0,1077,3,40,21.5
26,306,0,1349,6,7,6.5
27,1141,0,170,135,273,204.0
28,1630,0,331,162,265,213.5
29,891,0,474,47,39,43.0
30,1746,0,1933,137,81,109.0
31,9,0,1145,11,18,14.5
32,586,0,1169,86,486,286.0
33,1063,0,59,29,131,80.0
34,1265,0,1291,113,278,195.5
35,293,0,1726,7,86,46.5
36,1567,0,1573,311,35,173.0
37,1244,0,67,116,106,111.0
38,1260,0,33,40,52,46.0
39,607,0,1166,8,21,14.5
40,68,0,1171,4,15,9.5
41,498,0,1256,8,428,218.0
42,1067,0,13,48,108,78.0
43,1063,0,1281,5,4,4.5
44,1169,0,1320,23,28,25.5
45,1632,0,1662,7,1,4.0
46,941,0,1360,157,57,107.0
47,68,0,607,2,17,9.5
48,68,0,1490,12,21,16.5
49,305,0,1352,56,191,123.5
50,586,0,1501,31,329,180.0
51,1261,0,1491,88,93,90.5
52,1759,0,219,123,275,199.0
53,1150,0,1190,48,212,130.0
54,181,0,1352,5,22,13.5
55,1118,0,1212,7,2,4.5
56,1494,0,94,70,27,48.5
57,198,0,1180,21,343,182.0
58,383,0,1064,4,29,16.5
59,1446,0,1507,76,13,44.5
60,1313,0,1322,40,4,22.0
61,1770,0,62,125,70,97.5
62,1271,0,1757,129,90,109.5
63,1455,0,1660,149,15,82.0
64,772,0,1871,22,100,61.0
65,1150,0,1509,62,173,117.5
66,546,0,1961,19,104,61.5
67,1691,0,333,3,2,2.5
68,1494,0,1805,35,20,27.5
69,1183,0,1716,140,180,160.0
70,388,0,1213,2,6,4.0
71,933,0,944,25,5,15.0
72,1660,0,1825,203,72,137.5
73,1891,0,35,255,189,222.0
74,1399,0,32,126,116,121.0
75,97,0,1141,16,62,39.0
76,1298,0,84,63,18,40.5
77,1068,0,288,175,648,411.5
78,1172,0,1456,38,21,29.5
79,1276,0,1350,23,20,21.5
80,1271,0,1275,68,100,84.0
81,1112,0,1308,6,2,4.0
82,1260,0,1330,41,105,73.0
83,876,0,1336,236,28,132.0
84,68,0,567,3,11,7.0
85,1141,0,1205,8,7,7.5
86,626,0,1479,284,408,346.0
87,683,0,1601,1,3,2.0
88,9,0,1384,1,22,11.5
89,1063,0,1217,3,4,3.5
90,973,0,162,4,150,77.0
91,1476,0,236,24,13,18.5
92,9,0,1066,1,2,1.5
93,1165,0,664,8,10,9.0
94,1246,0,1499,183,365,274.0
95,483,0,1820,70,29,49.5
96,9,0,1473,1,2,1.5
97,877,0,928,1,5,3.0
98,1146,0,73,192,442,317.0
99,561,0,8,5,45,25.0
100,410,0,1531,1,68,34.5
101,9,0,1858,9,45,27.0
102,68,0,1170,3,21,12.0
103,1479,0,1809,24,12,18.0
104,1527,0,149,89,218,153.5
105,1981,0,1216,59,118,88.5
106,607,0,1837,9,35,22.0
107,561,0,1140,35,328,181.5
108,242,0,1221,23,15,19.0
109,1998,0,178,390,87,238.5
110,9,0,1569,117,150,133.5
111,1321,0,1506,2,2,2.0
112,1308,0,1399,2,39,20.5
113,897,0,934,9,14,11.5
114,1264,0,1759,204,66,135.0
115,1072,0,1079,36,21,28.5
116,1273,0,1507,2,4,3.0
117,9,0,1218,4,12,8.0
118,388,0,1467,13,44,28.5
119,1321,0,212,311,196,253.5
120,1324,0,166,373,351,362.0
121,17,0,1103,1,1,1.0
122,1174,0,1448,15,11,13.0
123,1660,0,1791,15,4,9.5
124,1856,0,1988,45,51,48.0
125,1073,0,1269,6,11,8.5
126,561,0,1299,5,17,11.0
127,1302,0,1747,105,128,116.5
128,1669,0,221,6,3,4.5
129,877,0,1282,100,721,410.5
130,1631,0,1677,11,5,8.0
131,181,0,607,2,8,5.0
132,890,0,190,11,40,25.5
133,877,0,1417,233,99,166.0
134,1631,0,1692,4,3,3.5
135,733,0,352,2,32,17.0
136,1068,0,1858,2,25,13.5
137,1687,0,171,521,6,263.5
138,1063,0,1171,3,4,3.5
139,1242,0,27,244,215,229.5
140,181,0,89,93,157,125.0
141,879,0,474,12,35,23.5
142,293,0,1500,28,161,94.5
143,1146,0,1325,73,101,87.0
144,1446,0,1830,433,195,314.0
145,877,0,101,3,20,11.5
146,1338,0,1389,38,162,100.0
147,1715,0,341,12,3,7.5
148,1726,0,1990,6,13,9.5
149,1261,0,1291,69,203,136.0
150,553,0,1168,4,8,6.0
151,1924,0,1950,101,70,85.5
152,461,0,164,111,316,213.5
153,945,0,524,9,5,7.0
154,877,0,890,2,19,10.5
155,151,0,542,2,4,3.0
156,68,0,1332,7,81,44.0
157,1168,0,1218,28,31,29.5
158,561,0,1731,24,228,126.0
159,1260,0,1369,66,146,106.0
160,1448,0,1473,107,203,155.0
161,1269,0,1469,6,10,8.0
162,1896,0,730,2,14,8.0
163,747,0,491,6,11,8.5
164,1260,0,108,226,147,186.5
165,738,0,392,16,48,32.0
166,68,0,1753,14,187,100.5
167,68,0,1172,5,5,5.0
168,1308,0,1735,2,82,42.0
169,973,0,1533,4,94,49.0
170,1342,0,1730,95,212,153.5
171,1995,0,108,124,22,73.0
172,1063,0,1069,10,266,138.0
173,1489,0,1759,150,13,81.5
174,349,0,439,13,286,149.5
175,553,0,1271,23,34,28.5
176,1303,0,230,39,28,33.5
177,638,0,1809,12,30,21.0
178,1919,0,1942,84,16,50.0
179,1399,0,341,164,69,116.5
180,1073,0,1318,23,96,59.5
181,1125,0,1138,9,12,10.5
182,410,0,1552,2,1,1.5
183,1130,0,1766,151,123,137.0
184,1822,0,1895,95,18,56.5
185,1871,0,46,170,41,105.5
186,1721,0,1856,347,124,235.5
187,1303,0,1335,101,104,102.5
188,1663,0,226,7,22,14.5
189,1068,0,1318,14,104,59.0
190,1205,0,1914,87,318,202.5
191,1494,0,1507,61,12,36.5
192,1278,0,1805,1,9,5.0
193,1082,0,1150,15,8,11.5
194,1477,0,1906,429,134,281.5
195,907,0,1775,389,110,249.5
196,1068,0,1320,5,20,12.5
197,827,0,445,659,876,767.5
198,582,0,94,14,228,121.0
199,946,0,955,49,2,25.5
200,388,0,1132,1,23,12.0
201,439,0,1514,126,303,214.5
202,1184,0,1187,59,31,45.0
203,1810,0,1975,219,52,135.5
204,1633,0,263,607,600,603.5
205,733,0,1481,2,92,47.0
206,1761,0,1775,52,12,32.0
207,1682,0,1736,24,24,24.0
208,929,0,932,27,15,21.0
209,586,0,1571,4,15,9.5
210,1125,0,1172,5,3,4.0
211,306,0,1362,2,5,3.5
212,590,0,618,4,105,54.5
213,1249,0,1327,1,2,1.5
214,1336,0,309,419,403,411.0
215,733,0,1438,5,295,150.0
216,1173,0,1178,56,67,61.5
217,1247,0,65,3,48,25.5
218,1365,0,1514,32,149,90.5
219,1123,0,1224,1,16,8.5
