,h,r,t,head-batch,tail-batch,ranks
0,717,0,1304,10,512,261.0
1,293,0,1803,4,55,29.5
2,1116,0,1735,125,382,253.5
3,1295,0,1748,205,108,156.5
4,1222,0,1305,75,53,64.0
5,733,0,646,2,398,200.0
6,305,0,225,187,664,425.5
7,1281,0,1791,84,40,62.0
8,1308,0,1681,27,75,51.0
9,68,0,1453,19,282,150.5
10,1073,0,1321,13,17,15.0
11,861,0,865,66,213,139.5
12,1063,0,1183,2,14,8.0
13,1212,0,1214,13,13,13.0
14,1311,0,1327,179,404,291.5
15,1334,0,1448,159,262,210.5
16,567,0,1138,5,11,8.0
17,1348,0,217,741,309,525.0
18,1116,0,1906,100,209,154.5
19,1063,0,1141,2,4,3.0
20,1006,0,1538,26,424,225.0
21,1328,0,167,105,296,200.5
22,935,0,973,118,96,107.0
23,916,0,925,22,31,26.5
24,1873,0,31,18,2,10.0
25,181,0,1077,3,78,40.5
26,306,0,1349,18,8,13.0
27,1141,0,170,196,273,234.5
28,1630,0,331,77,167,122.0
29,891,0,474,107,50,78.5
30,1746,0,1933,102,62,82.0
31,9,0,1145,4,12,8.0
32,586,0,1169,61,319,190.0
33,1063,0,59,69,182,125.5
34,1265,0,1291,159,428,293.5
35,293,0,1726,6,27,16.5
36,1567,0,1573,334,15,174.5
37,1244,0,67,109,91,100.0
38,1260,0,33,5,16,10.5
39,607,0,1166,6,10,8.0
40,68,0,1171,6,10,8.0
41,498,0,1256,6,567,286.5
42,1067,0,13,315,507,411.0
43,1063,0,1281,3,2,2.5
44,1169,0,1320,15,12,13.5
45,1632,0,1662,22,1,11.5
46,941,0,1360,118,79,98.5
47,68,0,607,2,17,9.5
48,68,0,1490,4,12,8.0
49,305,0,1352,38,105,71.5
50,586,0,1501,18,348,183.0
51,1261,0,1491,26,19,22.5
52,1759,0,219,199,278,238.5
53,1150,0,1190,51,228,139.5
54,181,0,1352,2,12,7.0
55,1118,0,1212,19,15,17.0
