,h,r,t,head-batch,tail-batch,ranks
0,717,0,1304,1203,1774,1488.5
1,293,0,1803,730,364,547.0
2,1116,0,1735,244,431,337.5
3,1295,0,1748,741,1053,897.0
4,1222,0,1305,1195,1413,1304.0
5,733,0,646,108,105,106.5
6,305,0,225,378,796,587.0
7,1281,0,1791,231,464,347.5
8,1308,0,1681,17,59,38.0
9,68,0,1453,718,1032,875.0
10,1073,0,1321,581,64,322.5
11,861,0,865,1404,1539,1471.5
12,1063,0,1183,1031,339,685.0
13,1212,0,1214,1619,1820,1719.5
14,1311,0,1327,1887,1891,1889.0
15,1334,0,1448,337,62,199.5
16,567,0,1138,1226,1064,1145.0
17,1348,0,217,1937,1715,1826.0
18,1116,0,1906,739,754,746.5
19,1063,0,1141,822,1249,1035.5
20,1006,0,1538,1676,1227,1451.5
21,1328,0,167,1648,1820,1734.0
22,935,0,973,1810,1250,1530.0
23,916,0,925,1076,1544,1310.0
24,1873,0,31,699,345,522.0
25,181,0,1077,1193,880,1036.5
26,306,0,1349,442,448,445.0
27,1141,0,170,229,591,410.0
28,1630,0,331,602,415,508.5
29,891,0,474,385,529,457.0
30,1746,0,1933,1265,1306,1285.5
31,9,0,1145,1139,967,1053.0
32,586,0,1169,991,1347,1169.0
33,1063,0,59,824,1493,1158.5
34,1265,0,1291,674,831,752.5
35,293,0,1726,1943,1708,1825.5
36,1567,0,1573,439,552,495.5
37,1244,0,67,1603,1413,1508.0
38,1260,0,33,1626,1316,1471.0
39,607,0,1166,196,436,316.0
40,68,0,1171,1600,1336,1468.0
41,498,0,1256,465,755,610.0
42,1067,0,13,650,324,487.0
43,1063,0,1281,888,926,907.0
44,1169,0,1320,1010,512,761.0
45,1632,0,1662,692,1429,1060.5
46,941,0,1360,1799,1271,1535.0
47,68,0,607,1601,640,1120.5
48,68,0,1490,1687,1698,1692.5
49,305,0,1352,227,1140,683.5
50,586,0,1501,1090,1169,1129.5
51,1261,0,1491,777,72,424.5
52,1759,0,219,1768,1601,1684.5
53,1150,0,1190,1201,1509,1355.0
54,181,0,1352,2,120,61.0
55,1118,0,1212,1503,1140,1321.5
56,1494,0,94,370,445,407.5
57,198,0,1180,1405,1525,1465.0
58,383,0,1064,1684,1024,1354.0
59,1446,0,1507,50,135,92.5
60,1313,0,1322,1919,1738,1828.5
61,1770,0,62,957,1430,1193.5
62,1271,0,1757,108,147,127.5
63,1455,0,1660,270,411,340.5
64,772,0,1871,1551,1474,1512.5
65,1150,0,1509,499,776,637.5
66,546,0,1961,1656,1815,1735.5
67,1691,0,333,1902,1842,1872.0
68,1494,0,1805,1014,728,871.0
69,1183,0,1716,256,508,382.0
70,388,0,1213,1285,1222,1253.5
71,933,0,944,1392,1616,1504.0
72,1660,0,1825,1929,1925,1927.0
73,1891,0,35,136,244,190.0
74,1399,0,32,1424,123,773.5
75,97,0,1141,1765,1796,1780.5
76,1298,0,84,1607,1675,1641.0
77,1068,0,288,1694,1000,1347.0
78,1172,0,1456,93,126,109.5
79,1276,0,1350,312,731,521.5
80,1271,0,1275,1388,772,1080.0
81,1112,0,1308,1008,226,617.0
82,1260,0,1330,1703,1583,1643.0
83,876,0,1336,1119,965,1042.0
84,68,0,567,720,948,834.0
85,1141,0,1205,781,403,592.0
86,626,0,1479,1868,1655,1761.5
87,683,0,1601,236,1227,731.5
88,9,0,1384,1734,1694,1714.0
89,1063,0,1217,1909,1478,1693.5
90,973,0,162,1275,1308,1291.5
91,1476,0,236,1595,1628,1611.5
92,9,0,1066,1778,1310,1544.0
93,1165,0,664,96,38,67.0
94,1246,0,1499,1274,1965,1619.5
95,483,0,1820,37,232,134.5
96,9,0,1473,1799,946,1372.5
97,877,0,928,1701,1807,1754.0
98,1146,0,73,695,811,753.0
99,561,0,8,1987,1729,1858.0
100,410,0,1531,1158,1197,1177.5
101,9,0,1858,1491,1257,1374.0
102,68,0,1170,1001,743,872.0
103,1479,0,1809,494,367,430.5
104,1527,0,149,1635,1473,1554.0
105,1981,0,1216,1666,971,1318.5
106,607,0,1837,1556,794,1175.0
107,561,0,1140,1162,1076,1119.0
108,242,0,1221,460,832,646.0
109,1998,0,178,1248,1630,1439.0
110,9,0,1569,984,986,985.0
111,1321,0,1506,324,1260,792.0
112,1308,0,1399,1846,1498,1672.0
113,897,0,934,302,395,348.5
114,1264,0,1759,787,415,601.0
115,1072,0,1079,617,1042,829.5
116,1273,0,1507,1705,1399,1552.0
117,9,0,1218,1005,133,569.0
118,388,0,1467,1768,967,1367.5
119,1321,0,212,1415,1552,1483.5
120,1324,0,166,1990,1864,1927.0
121,17,0,1103,972,299,635.5
122,1174,0,1448,127,39,83.0
123,1660,0,1791,694,746,720.0
124,1856,0,1988,1621,1570,1595.5
125,1073,0,1269,59,86,72.5
126,561,0,1299,326,81,203.5
127,1302,0,1747,289,162,225.5
128,1669,0,221,1934,1958,1946.0
129,877,0,1282,937,1358,1147.5
130,1631,0,1677,1955,1336,1645.5
131,181,0,607,816,201,508.5
132,890,0,190,829,1472,1150.5
133,877,0,1417,1385,564,974.5
134,1631,0,1692,1169,671,920.0
135,733,0,352,58,79,68.5
136,1068,0,1858,1934,1794,1864.0
137,1687,0,171,113,195,154.0
138,1063,0,1171,955,760,857.5
139,1242,0,27,1248,1360,1304.0
140,181,0,89,298,164,231.0
141,879,0,474,1979,1750,1864.5
142,293,0,1500,600,217,408.5
143,1146,0,1325,557,982,769.5
144,1446,0,1830,95,29,62.0
145,877,0,101,887,763,825.0
146,1338,0,1389,1058,214,636.0
147,1715,0,341,1331,1724,1527.5
148,1726,0,1990,1448,1162,1305.0
149,1261,0,1291,200,494,347.0
150,553,0,1168,1879,1671,1775.0
151,1924,0,1950,12,16,14.0
152,461,0,164,958,422,690.0
153,945,0,524,1005,610,807.5
154,877,0,890,500,175,337.5
155,151,0,542,1142,1368,1255.0
156,68,0,1332,548,1509,1028.5
157,1168,0,1218,1900,851,1375.5
158,561,0,1731,639,507,573.0
159,1260,0,1369,293,321,307.0
160,1448,0,1473,617,327,472.0
161,1269,0,1469,1423,917,1170.0
162,1896,0,730,474,725,599.5
163,747,0,491,1704,914,1309.0
164,1260,0,108,41,303,172.0
165,738,0,392,1611,1894,1752.5
166,68,0,1753,220,939,579.5
167,68,0,1172,1913,1757,1835.0
168,1308,0,1735,1819,1734,1776.5
169,973,0,1533,583,293,438.0
170,1342,0,1730,479,399,439.0
171,1995,0,108,971,1306,1138.5
172,1063,0,1069,810,547,678.5
173,1489,0,1759,1211,739,975.0
174,349,0,439,1003,1596,1299.5
175,553,0,1271,1272,612,942.0
176,1303,0,230,1123,1599,1361.0
177,638,0,1809,1504,1334,1419.0
178,1919,0,1942,38,264,151.0
179,1399,0,341,393,810,601.5
180,1073,0,1318,1630,1475,1552.5
181,1125,0,1138,1028,1167,1097.5
182,410,0,1552,956,434,695.0
183,1130,0,1766,1744,1649,1696.5
184,1822,0,1895,732,1403,1067.5
185,1871,0,46,1174,1616,1395.0
186,1721,0,1856,1902,1643,1772.5
187,1303,0,1335,268,228,248.0
188,1663,0,226,891,394,642.5
189,1068,0,1318,286,335,310.5
190,1205,0,1914,1603,1375,1489.0
191,1494,0,1507,935,646,790.5
192,1278,0,1805,1834,1319,1576.5
193,1082,0,1150,1729,419,1074.0
194,1477,0,1906,569,531,550.0
195,907,0,1775,535,481,508.0
196,1068,0,1320,649,263,456.0
197,827,0,445,1898,1818,1858.0
198,582,0,94,1135,899,1017.0
199,946,0,955,1823,1682,1752.5
200,388,0,1132,1839,1748,1793.5
201,439,0,1514,1730,1516,1623.0
202,1184,0,1187,596,669,632.5
203,1810,0,1975,1218,1186,1202.0
204,1633,0,263,807,484,645.5
205,733,0,1481,578,903,740.5
206,1761,0,1775,1406,1204,1305.0
207,1682,0,1736,1199,930,1064.5
208,929,0,932,1297,1217,1257.0
209,586,0,1571,1649,1817,1733.0
210,1125,0,1172,924,1224,1074.0
211,306,0,1362,1873,1077,1475.0
212,590,0,618,1054,868,961.0
213,1249,0,1327,560,697,628.5
214,1336,0,309,276,766,521.0
215,733,0,1438,1812,1582,1697.0
216,1173,0,1178,176,64,120.0
217,1247,0,65,1337,1222,1279.5
218,1365,0,1514,1635,1518,1576.5
219,1123,0,1224,1615,1821,1718.0
220,1218,0,1667,138,473,305.5
221,957,0,1142,984,935,959.5
222,1111,0,787,305,616,460.5
223,565,0,1257,600,288,444.0
224,1536,0,1859,361,1422,891.5
