,h,r,t,head-batch,tail-batch,ranks
0,717,0,1304,54,397,225.5
1,293,0,1803,2,8,5.0
2,1116,0,1735,29,157,93.0
3,1295,0,1748,195,160,177.5
4,1222,0,1305,52,35,43.5
5,733,0,646,4,301,152.5
6,305,0,225,4,85,44.5
7,1281,0,1791,208,126,167.0
8,1308,0,1681,81,225,153.0
9,68,0,1453,42,514,278.0
10,1073,0,1321,8,18,13.0
11,861,0,865,141,486,313.5
12,1063,0,1183,82,345,213.5
13,1212,0,1214,35,44,39.5
14,1311,0,1327,157,225,191.0
15,1334,0,1448,110,83,96.5
16,567,0,1138,5,66,35.5
17,1348,0,217,633,260,446.5
18,1116,0,1906,20,82,51.0
19,1063,0,1141,2,5,3.5
20,1006,0,1538,21,172,96.5
21,1328,0,167,25,117,71.0
22,935,0,973,70,45,57.5
23,916,0,925,22,63,42.5
24,1873,0,31,32,11,21.5
25,181,0,1077,4,77,40.5
26,306,0,1349,119,140,129.5
27,1141,0,170,98,198,148.0
28,1630,0,331,133,188,160.5
29,891,0,474,423,94,258.5
30,1746,0,1933,67,98,82.5
31,9,0,1145,11,58,34.5
32,586,0,1169,30,137,83.5
33,1063,0,59,10,60,35.0
34,1265,0,1291,148,414,281.0
35,293,0,1726,3,37,20.0
36,1567,0,1573,292,49,170.5
37,1244,0,67,142,108,125.0
38,1260,0,33,2,5,3.5
39,607,0,1166,4,19,11.5
40,68,0,1171,11,104,57.5
41,498,0,1256,1,68,34.5
42,1067,0,13,49,120,84.5
43,1063,0,1281,1,2,1.5
44,1169,0,1320,44,59,51.5
45,1632,0,1662,4,1,2.5
46,941,0,1360,87,121,104.0
47,68,0,607,20,244,132.0
48,68,0,1490,2,11,6.5
49,305,0,1352,23,169,96.0
50,586,0,1501,6,130,68.0
51,1261,0,1491,21,10,15.5
52,1759,0,219,318,349,333.5
53,1150,0,1190,46,159,102.5
54,181,0,1352,1,7,4.0
55,1118,0,1212,27,27,27.0
56,1494,0,94,8,10,9.0
57,198,0,1180,53,667,360.0
58,383,0,1064,5,65,35.0
59,1446,0,1507,27,3,15.0
60,1313,0,1322,110,42,76.0
61,1770,0,62,130,66,98.0
62,1271,0,1757,98,63,80.5
63,1455,0,1660,174,60,117.0
64,772,0,1871,2,11,6.5
65,1150,0,1509,54,94,74.0
66,546,0,1961,88,469,278.5
67,1691,0,333,29,35,32.0
68,1494,0,1805,4,4,4.0
69,1183,0,1716,63,113,88.0
70,388,0,1213,8,17,12.5
71,933,0,944,21,13,17.0
72,1660,0,1825,538,361,449.5
73,1891,0,35,54,49,51.5
74,1399,0,32,89,90,89.5
